task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,82.70122779575102
Regression,AAUP,0.9875,LR,,83.50361735020707
Regression,AAUP,0.9875,LR,,80.65236598326877
Regression,AAUP,0.9875,LR,,80.27289030268265
Regression,AAUP,0.9875,LR,,81.38125047629282
Regression,AAUP,0.9875,LR,,80.31343626827693
Regression,AAUP,0.9875,LR,,81.57233057578158
Regression,AAUP,0.9875,LR,,82.3563823801848
Regression,AAUP,0.9875,LR,,80.84320608175783
Regression,AAUP,0.9875,LR,,82.37515299244588
Regression,AAUP,0.9875,KNN,K=3,77.19925292922156
Regression,AAUP,0.9875,KNN,K=3,77.56193934889657
Regression,AAUP,0.9875,KNN,K=3,76.95461222030676
Regression,AAUP,0.9875,KNN,K=3,77.16888291505352
Regression,AAUP,0.9875,KNN,K=3,76.71751925826162
Regression,AAUP,0.9875,KNN,K=3,76.69712243315023
Regression,AAUP,0.9875,KNN,K=3,76.56637539299463
Regression,AAUP,0.9875,KNN,K=3,77.50745000105331
Regression,AAUP,0.9875,KNN,K=3,77.71937670627743
Regression,AAUP,0.9875,KNN,K=3,76.44545969822897
Regression,AAUP,0.9875,M5,,100.55822206260862
Regression,AAUP,0.9875,M5,,97.08270223583634
Regression,AAUP,0.9875,M5,,97.56839235219627
Regression,AAUP,0.9875,M5,,96.03026526104648
Regression,AAUP,0.9875,M5,,100.9870979540253
Regression,AAUP,0.9875,M5,,101.86565200106854
Regression,AAUP,0.9875,M5,,98.21663431205997
Regression,AAUP,0.9875,M5,,99.59429207065965
Regression,AAUP,0.9875,M5,,96.75373640913054
Regression,AAUP,0.9875,M5,,97.54815249896629
