task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.445,LR,,16.189856178097784
Regression,MetacriticAlbums,0.445,LR,,15.751955176185035
Regression,MetacriticAlbums,0.445,LR,,16.847187272686853
Regression,MetacriticAlbums,0.445,LR,,16.39589107191409
Regression,MetacriticAlbums,0.445,LR,,16.23597582956827
Regression,MetacriticAlbums,0.445,LR,,16.247453197010355
Regression,MetacriticAlbums,0.445,LR,,16.079591225843494
Regression,MetacriticAlbums,0.445,LR,,15.854858990384852
Regression,MetacriticAlbums,0.445,LR,,15.846705515941792
Regression,MetacriticAlbums,0.445,LR,,16.672023728796795
Regression,MetacriticAlbums,0.445,KNN,K=3,16.742159903771398
Regression,MetacriticAlbums,0.445,KNN,K=3,16.560458536339347
Regression,MetacriticAlbums,0.445,KNN,K=3,16.730567579156236
Regression,MetacriticAlbums,0.445,KNN,K=3,16.730399863330796
Regression,MetacriticAlbums,0.445,KNN,K=3,16.771227872963813
Regression,MetacriticAlbums,0.445,KNN,K=3,16.63643219898602
Regression,MetacriticAlbums,0.445,KNN,K=3,16.519284495736677
Regression,MetacriticAlbums,0.445,KNN,K=3,16.749001168509043
Regression,MetacriticAlbums,0.445,KNN,K=3,16.645776954095492
Regression,MetacriticAlbums,0.445,KNN,K=3,16.593168672777303
Regression,MetacriticAlbums,0.445,M5,,19.320383566422564
Regression,MetacriticAlbums,0.445,M5,,19.934997261585643
Regression,MetacriticAlbums,0.445,M5,,19.891731831136216
Regression,MetacriticAlbums,0.445,M5,,19.74992599854567
Regression,MetacriticAlbums,0.445,M5,,20.872993464665743
Regression,MetacriticAlbums,0.445,M5,,19.623048498356162
Regression,MetacriticAlbums,0.445,M5,,20.61169642070714
Regression,MetacriticAlbums,0.445,M5,,20.434954626115285
Regression,MetacriticAlbums,0.445,M5,,19.77784788757638
Regression,MetacriticAlbums,0.445,M5,,20.980391037071715
