task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.361802911534155
Classification,AAUP,0.9875,NB,,0.360727883538634
Classification,AAUP,0.9875,NB,,0.365005599104143
Classification,AAUP,0.9875,NB,,0.3596640537514
Classification,AAUP,0.9875,NB,,0.360795072788354
Classification,AAUP,0.9875,NB,,0.3596640537514
Classification,AAUP,0.9875,NB,,0.364893617021277
Classification,AAUP,0.9875,NB,,0.360761478163494
Classification,AAUP,0.9875,NB,,0.358645016797312
Classification,AAUP,0.9875,NB,,0.363874580067189
Classification,AAUP,0.9875,KNN,K=3,0.544255319148936
Classification,AAUP,0.9875,KNN,K=3,0.555946248600224
Classification,AAUP,0.9875,KNN,K=3,0.56424412094065
Classification,AAUP,0.9875,KNN,K=3,0.558958566629339
Classification,AAUP,0.9875,KNN,K=3,0.563225083986562
Classification,AAUP,0.9875,KNN,K=3,0.547525195968645
Classification,AAUP,0.9875,KNN,K=3,0.559115341545353
Classification,AAUP,0.9875,KNN,K=3,0.544154535274356
Classification,AAUP,0.9875,KNN,K=3,0.549742441209406
Classification,AAUP,0.9875,KNN,K=3,0.556920492721165
Classification,AAUP,0.9875,C45,,0.513751399776036
Classification,AAUP,0.9875,C45,,0.487256438969765
Classification,AAUP,0.9875,C45,,0.499921612541993
Classification,AAUP,0.9875,C45,,0.524266517357223
Classification,AAUP,0.9875,C45,,0.520044792833147
Classification,AAUP,0.9875,C45,,0.513684210526316
Classification,AAUP,0.9875,C45,,0.511545352743561
Classification,AAUP,0.9875,C45,,0.486315789473684
Classification,AAUP,0.9875,C45,,0.521052631578947
Classification,AAUP,0.9875,C45,,0.513807390817469
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.593874580067189
Classification,AAUP,0.9875,SVM,C=1.0,0.611769316909294
Classification,AAUP,0.9875,SVM,C=10.0,0.598017917133259
Classification,AAUP,0.9875,SVM,C=100,0.554736842105263
Classification,AAUP,0.9875,SVM,C=1000,0.524232922732363
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.586472564389698
Classification,AAUP,0.9875,SVM,C=1.0,0.607547592385218
Classification,AAUP,0.9875,SVM,C=10.0,0.603303471444569
Classification,AAUP,0.9875,SVM,C=100,0.572676371780515
Classification,AAUP,0.9875,SVM,C=1000,0.523124300111982
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.587536394176932
Classification,AAUP,0.9875,SVM,C=1.0,0.612821948488242
Classification,AAUP,0.9875,SVM,C=10.0,0.609708846584546
Classification,AAUP,0.9875,SVM,C=100,0.563381858902576
Classification,AAUP,0.9875,SVM,C=1000,0.521131019036954
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.583337066069429
Classification,AAUP,0.9875,SVM,C=1.0,0.609675251959686
Classification,AAUP,0.9875,SVM,C=10.0,0.606506159014558
Classification,AAUP,0.9875,SVM,C=100,0.574860022396417
Classification,AAUP,0.9875,SVM,C=1000,0.535879059350504
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.591724524076148
Classification,AAUP,0.9875,SVM,C=1.0,0.609708846584546
Classification,AAUP,0.9875,SVM,C=10.0,0.611802911534154
Classification,AAUP,0.9875,SVM,C=100,0.570593505039194
Classification,AAUP,0.9875,SVM,C=1000,0.529451287793953
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.59070548712206
Classification,AAUP,0.9875,SVM,C=1.0,0.608701007838746
Classification,AAUP,0.9875,SVM,C=10.0,0.604456886898096
Classification,AAUP,0.9875,SVM,C=100,0.551735722284434
Classification,AAUP,0.9875,SVM,C=1000,0.529518477043673
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.582273236282195
Classification,AAUP,0.9875,SVM,C=1.0,0.615072788353863
Classification,AAUP,0.9875,SVM,C=10.0,0.599238521836506
Classification,AAUP,0.9875,SVM,C=100,0.560145576707727
Classification,AAUP,0.9875,SVM,C=1000,0.527480403135498
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
