task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,73.96935541191043
Regression,AAUP,0.9875,LR,,73.32002491468947
Regression,AAUP,0.9875,LR,,73.19137524795897
Regression,AAUP,0.9875,LR,,75.7226630439598
Regression,AAUP,0.9875,LR,,73.90155022449464
Regression,AAUP,0.9875,LR,,73.80177197953772
Regression,AAUP,0.9875,LR,,72.41149737420726
Regression,AAUP,0.9875,LR,,74.37733343959178
Regression,AAUP,0.9875,LR,,73.38065015825526
Regression,AAUP,0.9875,LR,,74.37821131770717
Regression,AAUP,0.9875,KNN,K=3,76.64679523996485
Regression,AAUP,0.9875,KNN,K=3,76.73914157530805
Regression,AAUP,0.9875,KNN,K=3,76.58069208160218
Regression,AAUP,0.9875,KNN,K=3,78.37026331284649
Regression,AAUP,0.9875,KNN,K=3,77.26797156468587
Regression,AAUP,0.9875,KNN,K=3,76.30794983533184
Regression,AAUP,0.9875,KNN,K=3,76.88855043870689
Regression,AAUP,0.9875,KNN,K=3,77.0782181438311
Regression,AAUP,0.9875,KNN,K=3,75.64561753940866
Regression,AAUP,0.9875,KNN,K=3,76.52681736262564
Regression,AAUP,0.9875,M5,,97.01509068888831
Regression,AAUP,0.9875,M5,,97.00601152123915
Regression,AAUP,0.9875,M5,,101.41358277567215
Regression,AAUP,0.9875,M5,,101.61015784101804
Regression,AAUP,0.9875,M5,,99.54862754524233
Regression,AAUP,0.9875,M5,,94.50414671696775
Regression,AAUP,0.9875,M5,,98.74714038268833
Regression,AAUP,0.9875,M5,,100.72253575595008
Regression,AAUP,0.9875,M5,,99.44734857641537
Regression,AAUP,0.9875,M5,,102.0123114624067
