task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.445,LR,,15.907219072017408
Regression,MetacriticAlbums,0.445,LR,,15.935320454404817
Regression,MetacriticAlbums,0.445,LR,,15.322603140096954
Regression,MetacriticAlbums,0.445,LR,,15.806328561528082
Regression,MetacriticAlbums,0.445,LR,,15.732587540339429
Regression,MetacriticAlbums,0.445,LR,,15.692375919489004
Regression,MetacriticAlbums,0.445,LR,,15.764178926204568
Regression,MetacriticAlbums,0.445,LR,,15.630800688722056
Regression,MetacriticAlbums,0.445,LR,,15.595007765985532
Regression,MetacriticAlbums,0.445,LR,,15.600270048955158
Regression,MetacriticAlbums,0.445,KNN,K=3,16.731094384175123
Regression,MetacriticAlbums,0.445,KNN,K=3,16.59583792444949
Regression,MetacriticAlbums,0.445,KNN,K=3,16.69931048238626
Regression,MetacriticAlbums,0.445,KNN,K=3,16.756102004672943
Regression,MetacriticAlbums,0.445,KNN,K=3,16.76332625545044
Regression,MetacriticAlbums,0.445,KNN,K=3,16.523941494658466
Regression,MetacriticAlbums,0.445,KNN,K=3,16.41204711770994
Regression,MetacriticAlbums,0.445,KNN,K=3,16.704121629049688
Regression,MetacriticAlbums,0.445,KNN,K=3,16.510179798182527
Regression,MetacriticAlbums,0.445,KNN,K=3,16.470531015965406
Regression,MetacriticAlbums,0.445,M5,,20.408376643859302
Regression,MetacriticAlbums,0.445,M5,,19.995916323461604
Regression,MetacriticAlbums,0.445,M5,,19.883576651847847
Regression,MetacriticAlbums,0.445,M5,,19.861274509395077
Regression,MetacriticAlbums,0.445,M5,,20.18220741514604
Regression,MetacriticAlbums,0.445,M5,,20.05225152716835
Regression,MetacriticAlbums,0.445,M5,,19.687591751396063
Regression,MetacriticAlbums,0.445,M5,,19.91673917733185
Regression,MetacriticAlbums,0.445,M5,,20.22159517419061
Regression,MetacriticAlbums,0.445,M5,,19.343098117730086
