task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.537586124970302
Classification,MetacriticMovies,0.919,NB,,0.527233309574721
Classification,MetacriticMovies,0.919,NB,,0.527738180090283
Classification,MetacriticMovies,0.919,NB,,0.522846875742457
Classification,MetacriticMovies,0.919,NB,,0.536466500356379
Classification,MetacriticMovies,0.919,NB,,0.530963411736755
Classification,MetacriticMovies,0.919,NB,,0.535349845569019
Classification,MetacriticMovies,0.919,NB,,0.524480280351628
Classification,MetacriticMovies,0.919,NB,,0.523399263483013
Classification,MetacriticMovies,0.919,NB,,0.520616535994298
Classification,MetacriticMovies,0.919,KNN,K=3,0.557641363744357
Classification,MetacriticMovies,0.919,KNN,K=3,0.546795557139463
Classification,MetacriticMovies,0.919,KNN,K=3,0.554935851746258
Classification,MetacriticMovies,0.919,KNN,K=3,0.556076265146115
Classification,MetacriticMovies,0.919,KNN,K=3,0.551170111665479
Classification,MetacriticMovies,0.919,KNN,K=3,0.56139819434545
Classification,MetacriticMovies,0.919,KNN,K=3,0.551152292706106
Classification,MetacriticMovies,0.919,KNN,K=3,0.560343905915894
Classification,MetacriticMovies,0.919,KNN,K=3,0.551137443573295
Classification,MetacriticMovies,0.919,KNN,K=3,0.552254098360656
Classification,MetacriticMovies,0.919,C45,,0.522312306961273
Classification,MetacriticMovies,0.919,C45,,0.52393977191732
Classification,MetacriticMovies,0.919,C45,,0.525585055832739
Classification,MetacriticMovies,0.919,C45,,0.515238180090283
Classification,MetacriticMovies,0.919,C45,,0.527197671655975
Classification,MetacriticMovies,0.919,C45,,0.525020788785935
Classification,MetacriticMovies,0.919,C45,,0.537517818959373
Classification,MetacriticMovies,0.919,C45,,0.518502019482062
Classification,MetacriticMovies,0.919,C45,,0.535887384176764
Classification,MetacriticMovies,0.919,C45,,0.515196602518413
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.559322285578522
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.572365763839392
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.571816345925398
Classification,MetacriticMovies,0.919,SVM,C=100,0.572365763839392
Classification,MetacriticMovies,0.919,SVM,C=1000,0.553305416963649
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.557112734616298
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.575095034449988
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.575100974103112
Classification,MetacriticMovies,0.919,SVM,C=100,0.569624613922547
Classification,MetacriticMovies,0.919,SVM,C=1000,0.553338085055833
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.560388453314326
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.578851865051081
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.577233309574721
Classification,MetacriticMovies,0.919,SVM,C=100,0.584880612972202
Classification,MetacriticMovies,0.919,SVM,C=1000,0.554953670705631
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.57126098835828
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.577251128534094
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.577824305060584
Classification,MetacriticMovies,0.919,SVM,C=100,0.578352934188643
Classification,MetacriticMovies,0.919,SVM,C=1000,0.55604062722737
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.563090995485864
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.568564385839867
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.582195889760038
Classification,MetacriticMovies,0.919,SVM,C=100,0.584901401758137
Classification,MetacriticMovies,0.919,SVM,C=1000,0.565858873841768
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.559239130434783
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.577758968876218
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.589727369921597
Classification,MetacriticMovies,0.919,SVM,C=100,0.584286647659777
Classification,MetacriticMovies,0.919,SVM,C=1000,0.555981230696127
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.561448681397006
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.57559990496555
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.583232359230221
Classification,MetacriticMovies,0.919,SVM,C=100,0.573443810881444
Classification,MetacriticMovies,0.919,SVM,C=1000,0.563079116179615
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
