task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,23.548328064103327
Regression,MetacriticMovies,0.919,LR,,23.436285226575347
Regression,MetacriticMovies,0.919,LR,,23.285806582514734
Regression,MetacriticMovies,0.919,LR,,23.44265109960344
Regression,MetacriticMovies,0.919,LR,,23.437108719856035
Regression,MetacriticMovies,0.919,LR,,23.507676920962346
Regression,MetacriticMovies,0.919,LR,,23.392809466665103
Regression,MetacriticMovies,0.919,LR,,23.399044606412936
Regression,MetacriticMovies,0.919,LR,,23.49109385717783
Regression,MetacriticMovies,0.919,LR,,23.4631561125067
Regression,MetacriticMovies,0.919,KNN,K=3,25.51700009520758
Regression,MetacriticMovies,0.919,KNN,K=3,25.530626844509232
Regression,MetacriticMovies,0.919,KNN,K=3,25.418574531696812
Regression,MetacriticMovies,0.919,KNN,K=3,25.510105762692277
Regression,MetacriticMovies,0.919,KNN,K=3,25.53280720860173
Regression,MetacriticMovies,0.919,KNN,K=3,25.418088563300017
Regression,MetacriticMovies,0.919,KNN,K=3,25.38304579578956
Regression,MetacriticMovies,0.919,KNN,K=3,25.401105380019988
Regression,MetacriticMovies,0.919,KNN,K=3,25.421165043194968
Regression,MetacriticMovies,0.919,KNN,K=3,25.57724318066379
Regression,MetacriticMovies,0.919,M5,,31.7566584549509
Regression,MetacriticMovies,0.919,M5,,31.387636917257787
Regression,MetacriticMovies,0.919,M5,,30.93129355923522
Regression,MetacriticMovies,0.919,M5,,31.70888555355366
Regression,MetacriticMovies,0.919,M5,,31.85043047662171
Regression,MetacriticMovies,0.919,M5,,31.069842861910672
Regression,MetacriticMovies,0.919,M5,,31.146640892937853
Regression,MetacriticMovies,0.919,M5,,31.701044022749425
Regression,MetacriticMovies,0.919,M5,,32.25871671886644
Regression,MetacriticMovies,0.919,M5,,31.923220165907782
