task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.400817469204927
Classification,AAUP,0.9875,NB,,0.402877939529675
Classification,AAUP,0.9875,NB,,0.396718924972004
Classification,AAUP,0.9875,NB,,0.395543113101904
Classification,AAUP,0.9875,NB,,0.408320268756999
Classification,AAUP,0.9875,NB,,0.402911534154535
Classification,AAUP,0.9875,NB,,0.400772676371781
Classification,AAUP,0.9875,NB,,0.397760358342665
Classification,AAUP,0.9875,NB,,0.401881298992161
Classification,AAUP,0.9875,NB,,0.397581187010078
Classification,AAUP,0.9875,KNN,K=3,0.544199328107503
Classification,AAUP,0.9875,KNN,K=3,0.558006718924972
Classification,AAUP,0.9875,KNN,K=3,0.566349384098544
Classification,AAUP,0.9875,KNN,K=3,0.553706606942889
Classification,AAUP,0.9875,KNN,K=3,0.559003359462486
Classification,AAUP,0.9875,KNN,K=3,0.551735722284435
Classification,AAUP,0.9875,KNN,K=3,0.559126539753639
Classification,AAUP,0.9875,KNN,K=3,0.544176931690929
Classification,AAUP,0.9875,KNN,K=3,0.546562150055991
Classification,AAUP,0.9875,KNN,K=3,0.552687569988802
Classification,AAUP,0.9875,C45,,0.494759238521836
Classification,AAUP,0.9875,C45,,0.504154535274356
Classification,AAUP,0.9875,C45,,0.522150055991042
Classification,AAUP,0.9875,C45,,0.50521836506159
Classification,AAUP,0.9875,C45,,0.478868980963046
Classification,AAUP,0.9875,C45,,0.528454647256439
Classification,AAUP,0.9875,C45,,0.499014557670773
Classification,AAUP,0.9875,C45,,0.4893281075028
Classification,AAUP,0.9875,C45,,0.500011198208287
Classification,AAUP,0.9875,C45,,0.502194848824188
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.580156774916014
Classification,AAUP,0.9875,SVM,C=1.0,0.612821948488242
Classification,AAUP,0.9875,SVM,C=10.0,0.597010078387458
Classification,AAUP,0.9875,SVM,C=100,0.572743561030235
Classification,AAUP,0.9875,SVM,C=1000,0.522071668533035
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.586494960806271
Classification,AAUP,0.9875,SVM,C=1.0,0.607547592385218
Classification,AAUP,0.9875,SVM,C=10.0,0.596998880179171
Classification,AAUP,0.9875,SVM,C=100,0.559160134378499
Classification,AAUP,0.9875,SVM,C=1000,0.514736842105263
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.583325867861142
Classification,AAUP,0.9875,SVM,C=1.0,0.613885778275476
Classification,AAUP,0.9875,SVM,C=10.0,0.602318029115342
Classification,AAUP,0.9875,SVM,C=100,0.564255319148936
Classification,AAUP,0.9875,SVM,C=1000,0.537917133258679
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.579126539753639
Classification,AAUP,0.9875,SVM,C=1.0,0.609675251959686
Classification,AAUP,0.9875,SVM,C=10.0,0.602262038073908
Classification,AAUP,0.9875,SVM,C=100,0.58013437849944
Classification,AAUP,0.9875,SVM,C=1000,0.53582306830907
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.582239641657335
Classification,AAUP,0.9875,SVM,C=1.0,0.612877939529675
Classification,AAUP,0.9875,SVM,C=10.0,0.598118701007839
Classification,AAUP,0.9875,SVM,C=100,0.579081746920493
Classification,AAUP,0.9875,SVM,C=1000,0.520985442329227
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.586494960806271
Classification,AAUP,0.9875,SVM,C=1.0,0.608689809630459
Classification,AAUP,0.9875,SVM,C=10.0,0.606550951847704
Classification,AAUP,0.9875,SVM,C=100,0.571679731243001
Classification,AAUP,0.9875,SVM,C=1000,0.525274356103023
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.580156774916013
Classification,AAUP,0.9875,SVM,C=1.0,0.614008958566629
Classification,AAUP,0.9875,SVM,C=10.0,0.599204927211646
Classification,AAUP,0.9875,SVM,C=100,0.57501679731243
Classification,AAUP,0.9875,SVM,C=1000,0.539104143337066
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.584400895856663
Classification,AAUP,0.9875,SVM,C=1.0,0.608656215005599
Classification,AAUP,0.9875,SVM,C=10.0,0.585431131019037
Classification,AAUP,0.9875,SVM,C=100,0.566382978723404
Classification,AAUP,0.9875,SVM,C=1000,0.514826427771556
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.581276595744681
Classification,AAUP,0.9875,SVM,C=1.0,0.607592385218365
Classification,AAUP,0.9875,SVM,C=10.0,0.599171332586786
Classification,AAUP,0.9875,SVM,C=100,0.575957446808511
Classification,AAUP,0.9875,SVM,C=1000,0.52528555431131
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.586517357222844
Classification,AAUP,0.9875,SVM,C=1.0,0.609708846584546
Classification,AAUP,0.9875,SVM,C=10.0,0.592855543113102
Classification,AAUP,0.9875,SVM,C=100,0.562250839865621
Classification,AAUP,0.9875,SVM,C=1000,0.54424412094065
