task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.525005939653124
Classification,MetacriticMovies,0.919,NB,,0.532094915656926
Classification,MetacriticMovies,0.919,NB,,0.534271798526966
Classification,MetacriticMovies,0.919,NB,,0.535403302447137
Classification,MetacriticMovies,0.919,NB,,0.521813376098836
Classification,MetacriticMovies,0.919,NB,,0.526666072701354
Classification,MetacriticMovies,0.919,NB,,0.527185792349727
Classification,MetacriticMovies,0.919,NB,,0.529392373485388
Classification,MetacriticMovies,0.919,NB,,0.535334996436208
Classification,MetacriticMovies,0.919,NB,,0.527173913043478
Classification,MetacriticMovies,0.919,KNN,K=3,0.55655737704918
Classification,MetacriticMovies,0.919,KNN,K=3,0.546252078878593
Classification,MetacriticMovies,0.919,KNN,K=3,0.55221846044191
Classification,MetacriticMovies,0.919,KNN,K=3,0.548467569493942
Classification,MetacriticMovies,0.919,KNN,K=3,0.547903302447137
Classification,MetacriticMovies,0.919,KNN,K=3,0.553798408172963
Classification,MetacriticMovies,0.919,KNN,K=3,0.542967450700879
Classification,MetacriticMovies,0.919,KNN,K=3,0.550546448087432
Classification,MetacriticMovies,0.919,KNN,K=3,0.550053456878118
Classification,MetacriticMovies,0.919,KNN,K=3,0.546284746970777
Classification,MetacriticMovies,0.919,C45,,0.538622594440485
Classification,MetacriticMovies,0.919,C45,,0.546771798526966
Classification,MetacriticMovies,0.919,C45,,0.513040508434308
Classification,MetacriticMovies,0.919,C45,,0.54248039914469
Classification,MetacriticMovies,0.919,C45,,0.532685911142789
Classification,MetacriticMovies,0.919,C45,,0.526098835827988
Classification,MetacriticMovies,0.919,C45,,0.532626514611547
Classification,MetacriticMovies,0.919,C45,,0.524462461392255
Classification,MetacriticMovies,0.919,C45,,0.544095984794488
Classification,MetacriticMovies,0.919,C45,,0.534830125920646
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.53210085531005
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.565826205749584
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.588144452363982
Classification,MetacriticMovies,0.919,SVM,C=100,0.557697790449038
Classification,MetacriticMovies,0.919,SVM,C=1000,0.537018888096935
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.540232240437158
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.573431931575196
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.589231408885721
Classification,MetacriticMovies,0.919,SVM,C=100,0.544075196008553
Classification,MetacriticMovies,0.919,SVM,C=1000,0.522294488001901
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.525579116179615
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.568546566880494
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.594113803753861
Classification,MetacriticMovies,0.919,SVM,C=100,0.552753029223093
Classification,MetacriticMovies,0.919,SVM,C=1000,0.556566286528867
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.535394392967451
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.560438940365883
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.58437574245664
Classification,MetacriticMovies,0.919,SVM,C=100,0.556634592539796
Classification,MetacriticMovies,0.919,SVM,C=1000,0.535964599667379
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.531587075314802
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.569645402708482
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.582709669755286
Classification,MetacriticMovies,0.919,SVM,C=100,0.55281836540746
Classification,MetacriticMovies,0.919,SVM,C=1000,0.538673081492041
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.535349845569019
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.568519838441435
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.594636493228795
Classification,MetacriticMovies,0.919,SVM,C=100,0.561980280351627
Classification,MetacriticMovies,0.919,SVM,C=1000,0.528801377999525
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.536421952957947
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.572344975053457
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.579433951057258
Classification,MetacriticMovies,0.919,SVM,C=100,0.547318246614398
Classification,MetacriticMovies,0.919,SVM,C=1000,0.54732121644096
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.539700641482537
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.572353884533143
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.589222499406035
Classification,MetacriticMovies,0.919,SVM,C=100,0.559322285578522
Classification,MetacriticMovies,0.919,SVM,C=1000,0.54188049417914
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.540229270610596
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.567970420527441
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.596831195058209
Classification,MetacriticMovies,0.919,SVM,C=100,0.556587075314802
Classification,MetacriticMovies,0.919,SVM,C=1000,0.546272867664528
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.547846875742457
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.568510928961749
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.595188880969351
Classification,MetacriticMovies,0.919,SVM,C=100,0.546216440959848
Classification,MetacriticMovies,0.919,SVM,C=1000,0.544630553575671
