task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,77.39300592925323
Regression,AAUP,0.9875,LR,,80.3522596947784
Regression,AAUP,0.9875,LR,,81.96867290708137
Regression,AAUP,0.9875,LR,,78.96943203682265
Regression,AAUP,0.9875,LR,,79.60597222816573
Regression,AAUP,0.9875,LR,,80.69194612966784
Regression,AAUP,0.9875,LR,,82.25440617478189
Regression,AAUP,0.9875,LR,,80.07870660303978
Regression,AAUP,0.9875,LR,,81.39002854786627
Regression,AAUP,0.9875,LR,,80.23802826225138
Regression,AAUP,0.9875,KNN,K=3,76.85175829384386
Regression,AAUP,0.9875,KNN,K=3,77.04186801315224
Regression,AAUP,0.9875,KNN,K=3,76.8555149101846
Regression,AAUP,0.9875,KNN,K=3,76.90575749928875
Regression,AAUP,0.9875,KNN,K=3,76.01242152255887
Regression,AAUP,0.9875,KNN,K=3,75.9491113337979
Regression,AAUP,0.9875,KNN,K=3,76.05916779505053
Regression,AAUP,0.9875,KNN,K=3,77.276439714541
Regression,AAUP,0.9875,KNN,K=3,77.27505388646708
Regression,AAUP,0.9875,KNN,K=3,76.06117707456745
Regression,AAUP,0.9875,M5,,97.2414233941111
Regression,AAUP,0.9875,M5,,99.10909964073352
Regression,AAUP,0.9875,M5,,98.82083766785958
Regression,AAUP,0.9875,M5,,101.04593416950004
Regression,AAUP,0.9875,M5,,101.8513198881934
Regression,AAUP,0.9875,M5,,99.59193715808627
Regression,AAUP,0.9875,M5,,98.69479326574012
Regression,AAUP,0.9875,M5,,98.66390722472217
Regression,AAUP,0.9875,M5,,98.40015676673805
Regression,AAUP,0.9875,M5,,103.5079235695229
