task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,23.621816646938576
Regression,MetacriticMovies,0.919,LR,,23.82534850779316
Regression,MetacriticMovies,0.919,LR,,23.611188806349762
Regression,MetacriticMovies,0.919,LR,,23.88447325677334
Regression,MetacriticMovies,0.919,LR,,23.64219937162246
Regression,MetacriticMovies,0.919,LR,,23.848202827839952
Regression,MetacriticMovies,0.919,LR,,23.707532141346995
Regression,MetacriticMovies,0.919,LR,,23.78681170038893
Regression,MetacriticMovies,0.919,LR,,23.656738370448988
Regression,MetacriticMovies,0.919,LR,,23.68539960102424
Regression,MetacriticMovies,0.919,KNN,K=3,25.293053746245345
Regression,MetacriticMovies,0.919,KNN,K=3,25.31012103064956
Regression,MetacriticMovies,0.919,KNN,K=3,25.23301095446145
Regression,MetacriticMovies,0.919,KNN,K=3,25.359916740909828
Regression,MetacriticMovies,0.919,KNN,K=3,25.538996423171177
Regression,MetacriticMovies,0.919,KNN,K=3,25.370660422663164
Regression,MetacriticMovies,0.919,KNN,K=3,25.36697477629
Regression,MetacriticMovies,0.919,KNN,K=3,25.35097411992756
Regression,MetacriticMovies,0.919,KNN,K=3,25.386625996706265
Regression,MetacriticMovies,0.919,KNN,K=3,25.504640121101083
Regression,MetacriticMovies,0.919,M5,,31.900291746561003
Regression,MetacriticMovies,0.919,M5,,31.04095530235862
Regression,MetacriticMovies,0.919,M5,,31.695160008733655
Regression,MetacriticMovies,0.919,M5,,31.63900839908128
Regression,MetacriticMovies,0.919,M5,,31.591629116244395
Regression,MetacriticMovies,0.919,M5,,31.005811372078277
Regression,MetacriticMovies,0.919,M5,,31.179800096369128
Regression,MetacriticMovies,0.919,M5,,31.751846637589566
Regression,MetacriticMovies,0.919,M5,,31.040666285993563
Regression,MetacriticMovies,0.919,M5,,31.831610680747275
