task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.407144456886898
Classification,AAUP,0.9875,NB,,0.402877939529675
Classification,AAUP,0.9875,NB,,0.412597984322508
Classification,AAUP,0.9875,NB,,0.406103023516237
Classification,AAUP,0.9875,NB,,0.409384098544233
Classification,AAUP,0.9875,NB,,0.406103023516237
Classification,AAUP,0.9875,NB,,0.408141097424412
Classification,AAUP,0.9875,NB,,0.410414333706607
Classification,AAUP,0.9875,NB,,0.410313549832027
Classification,AAUP,0.9875,NB,,0.411332586786114
Classification,AAUP,0.9875,KNN,K=3,0.536886898096305
Classification,AAUP,0.9875,KNN,K=3,0.550526315789474
Classification,AAUP,0.9875,KNN,K=3,0.553740201567749
Classification,AAUP,0.9875,KNN,K=3,0.560145576707727
Classification,AAUP,0.9875,KNN,K=3,0.553852183650616
Classification,AAUP,0.9875,KNN,K=3,0.547558790593505
Classification,AAUP,0.9875,KNN,K=3,0.559126539753639
Classification,AAUP,0.9875,KNN,K=3,0.55060470324748
Classification,AAUP,0.9875,KNN,K=3,0.548667413213886
Classification,AAUP,0.9875,KNN,K=3,0.555778275475924
Classification,AAUP,0.9875,C45,,0.509406494960806
Classification,AAUP,0.9875,C45,,0.490559910414334
Classification,AAUP,0.9875,C45,,0.493538633818589
Classification,AAUP,0.9875,C45,,0.493583426651736
Classification,AAUP,0.9875,C45,,0.506237402015677
Classification,AAUP,0.9875,C45,,0.50541993281075
Classification,AAUP,0.9875,C45,,0.512631578947368
Classification,AAUP,0.9875,C45,,0.506315789473684
Classification,AAUP,0.9875,C45,,0.504199328107503
Classification,AAUP,0.9875,C45,,0.511478163493841
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.581209406494961
Classification,AAUP,0.9875,SVM,C=1.0,0.61070548712206
Classification,AAUP,0.9875,SVM,C=10.0,0.602194848824188
Classification,AAUP,0.9875,SVM,C=100,0.582228443449048
Classification,AAUP,0.9875,SVM,C=1000,0.526382978723404
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.582284434490482
Classification,AAUP,0.9875,SVM,C=1.0,0.606483762597984
Classification,AAUP,0.9875,SVM,C=10.0,0.606595744680851
Classification,AAUP,0.9875,SVM,C=100,0.585431131019037
Classification,AAUP,0.9875,SVM,C=1000,0.535912653975364
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.580145576707727
Classification,AAUP,0.9875,SVM,C=1.0,0.611769316909295
Classification,AAUP,0.9875,SVM,C=10.0,0.596013437849944
Classification,AAUP,0.9875,SVM,C=100,0.575946248600224
Classification,AAUP,0.9875,SVM,C=1000,0.528477043673012
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.579137737961926
Classification,AAUP,0.9875,SVM,C=1.0,0.6096640537514
Classification,AAUP,0.9875,SVM,C=10.0,0.586472564389698
Classification,AAUP,0.9875,SVM,C=100,0.568544232922732
Classification,AAUP,0.9875,SVM,C=1000,0.527402015677492
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.58434490481523
Classification,AAUP,0.9875,SVM,C=1.0,0.61077267637178
Classification,AAUP,0.9875,SVM,C=10.0,0.592799552071669
Classification,AAUP,0.9875,SVM,C=100,0.571646136618141
Classification,AAUP,0.9875,SVM,C=1000,0.546394176931691
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.585442329227324
Classification,AAUP,0.9875,SVM,C=1.0,0.608689809630459
Classification,AAUP,0.9875,SVM,C=10.0,0.591769316909294
Classification,AAUP,0.9875,SVM,C=100,0.579115341545353
Classification,AAUP,0.9875,SVM,C=1000,0.518958566629339
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.580145576707727
Classification,AAUP,0.9875,SVM,C=1.0,0.611892497200448
Classification,AAUP,0.9875,SVM,C=10.0,0.597133258678611
Classification,AAUP,0.9875,SVM,C=100,0.578129899216125
Classification,AAUP,0.9875,SVM,C=1000,0.526517357222844
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.58545352743561
Classification,AAUP,0.9875,SVM,C=1.0,0.608656215005599
Classification,AAUP,0.9875,SVM,C=10.0,0.589608062709966
Classification,AAUP,0.9875,SVM,C=100,0.569507278835386
Classification,AAUP,0.9875,SVM,C=1000,0.523247480403136
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.581276595744681
Classification,AAUP,0.9875,SVM,C=1.0,0.609708846584546
Classification,AAUP,0.9875,SVM,C=10.0,0.588589025755879
Classification,AAUP,0.9875,SVM,C=100,0.573852183650616
Classification,AAUP,0.9875,SVM,C=1000,0.542239641657335
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.58545352743561
Classification,AAUP,0.9875,SVM,C=1.0,0.608645016797312
Classification,AAUP,0.9875,SVM,C=10.0,0.586517357222844
Classification,AAUP,0.9875,SVM,C=100,0.56541993281075
Classification,AAUP,0.9875,SVM,C=1000,0.541164613661814
