task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.536992159657876
Classification,MetacriticMovies,0.919,NB,,0.531560346875742
Classification,MetacriticMovies,0.919,NB,,0.527732240437158
Classification,MetacriticMovies,0.919,NB,,0.539765977666904
Classification,MetacriticMovies,0.919,NB,,0.525611784271798
Classification,MetacriticMovies,0.919,NB,,0.529909123307199
Classification,MetacriticMovies,0.919,NB,,0.530990140175814
Classification,MetacriticMovies,0.919,NB,,0.533731290092658
Classification,MetacriticMovies,0.919,NB,,0.536436802090758
Classification,MetacriticMovies,0.919,NB,,0.526078047042053
Classification,MetacriticMovies,0.919,KNN,K=3,0.575035637918746
Classification,MetacriticMovies,0.919,KNN,K=3,0.559316345925398
Classification,MetacriticMovies,0.919,KNN,K=3,0.564742219054407
Classification,MetacriticMovies,0.919,KNN,K=3,0.567477429318128
Classification,MetacriticMovies,0.919,KNN,K=3,0.56309990496555
Classification,MetacriticMovies,0.919,KNN,K=3,0.560361724875267
Classification,MetacriticMovies,0.919,KNN,K=3,0.556554407222618
Classification,MetacriticMovies,0.919,KNN,K=3,0.560376574008078
Classification,MetacriticMovies,0.919,KNN,K=3,0.564706581135662
Classification,MetacriticMovies,0.919,KNN,K=3,0.56153777619387
Classification,MetacriticMovies,0.919,C45,,0.528275718698028
Classification,MetacriticMovies,0.919,C45,,0.528352934188643
Classification,MetacriticMovies,0.919,C45,,0.521774768353528
Classification,MetacriticMovies,0.919,C45,,0.535925991922072
Classification,MetacriticMovies,0.919,C45,,0.527179852696602
Classification,MetacriticMovies,0.919,C45,,0.534251009741031
Classification,MetacriticMovies,0.919,C45,,0.529879425041578
Classification,MetacriticMovies,0.919,C45,,0.535878474697078
Classification,MetacriticMovies,0.919,C45,,0.526089926348301
Classification,MetacriticMovies,0.919,C45,,0.52283796626277
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.532647303397482
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.563088025659302
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.600632573057733
Classification,MetacriticMovies,0.919,SVM,C=100,0.582175100974103
Classification,MetacriticMovies,0.919,SVM,C=1000,0.554419101924448
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.538595866001426
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.575077215490615
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.589225469232597
Classification,MetacriticMovies,0.919,SVM,C=100,0.569084105488239
Classification,MetacriticMovies,0.919,SVM,C=1000,0.552191732002851
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.532644333570919
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.56636374435733
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.605001187930625
Classification,MetacriticMovies,0.919,SVM,C=100,0.582186980280352
