task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,80.34259950902285
Regression,AAUP,0.9875,LR,,79.43438570538214
Regression,AAUP,0.9875,LR,,77.97840478907389
Regression,AAUP,0.9875,LR,,79.9576946217496
Regression,AAUP,0.9875,LR,,79.65498666740517
Regression,AAUP,0.9875,LR,,78.1429310820906
Regression,AAUP,0.9875,LR,,82.07865575087796
Regression,AAUP,0.9875,LR,,78.40763089358514
Regression,AAUP,0.9875,LR,,79.8776106176788
Regression,AAUP,0.9875,LR,,81.05238359712652
Regression,AAUP,0.9875,KNN,K=3,75.45787236515724
Regression,AAUP,0.9875,KNN,K=3,76.19102337830768
Regression,AAUP,0.9875,KNN,K=3,76.03271632277236
Regression,AAUP,0.9875,KNN,K=3,76.03081001828016
Regression,AAUP,0.9875,KNN,K=3,75.3172872508079
Regression,AAUP,0.9875,KNN,K=3,75.42868945076947
Regression,AAUP,0.9875,KNN,K=3,75.32673127257785
Regression,AAUP,0.9875,KNN,K=3,76.06145431994472
Regression,AAUP,0.9875,KNN,K=3,75.42873612355909
Regression,AAUP,0.9875,KNN,K=3,75.02789521326699
Regression,AAUP,0.9875,M5,,98.67461098880415
Regression,AAUP,0.9875,M5,,97.95487025769292
Regression,AAUP,0.9875,M5,,97.13150026741143
Regression,AAUP,0.9875,M5,,96.77280893325018
Regression,AAUP,0.9875,M5,,96.912884605649
Regression,AAUP,0.9875,M5,,98.30074821791065
Regression,AAUP,0.9875,M5,,102.14125767822877
Regression,AAUP,0.9875,M5,,96.95560200020365
Regression,AAUP,0.9875,M5,,96.05448055966013
Regression,AAUP,0.9875,M5,,98.64679274403585
