task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,Forbes,0.8511041009463722,NB,,0.433659480375898
Classification,Forbes,0.8511041009463722,NB,,0.435903814262023
Classification,Forbes,0.8511041009463722,NB,,0.427750138197899
Classification,Forbes,0.8511041009463722,NB,,0.437341072415699
Classification,Forbes,0.8511041009463722,NB,,0.445505804311774
Classification,Forbes,0.8511041009463722,NB,,0.435168601437258
Classification,Forbes,0.8511041009463722,NB,,0.443316749585406
Classification,Forbes,0.8511041009463722,NB,,0.423250414593698
Classification,Forbes,0.8511041009463722,NB,,0.438092868988391
Classification,Forbes,0.8511041009463722,NB,,0.439607517965727
Classification,Forbes,0.8511041009463722,KNN,K=3,0.45808181315644
Classification,Forbes,0.8511041009463722,KNN,K=3,0.478142620232172
Classification,Forbes,0.8511041009463722,KNN,K=3,0.473665008291874
Classification,Forbes,0.8511041009463722,KNN,K=3,0.466296296296296
Classification,Forbes,0.8511041009463722,KNN,K=3,0.474472084024323
Classification,Forbes,0.8511041009463722,KNN,K=3,0.469203980099502
Classification,Forbes,0.8511041009463722,KNN,K=3,0.466312880044223
Classification,Forbes,0.8511041009463722,KNN,K=3,0.463239358761747
Classification,Forbes,0.8511041009463722,KNN,K=3,0.464029850746269
Classification,Forbes,0.8511041009463722,KNN,K=3,0.46187949143173
Classification,Forbes,0.8511041009463722,C45,,0.472244333886125
Classification,Forbes,0.8511041009463722,C45,,0.483355444997236
Classification,Forbes,0.8511041009463722,C45,,0.475909342177999
Classification,Forbes,0.8511041009463722,C45,,0.468457711442786
Classification,Forbes,0.8511041009463722,C45,,0.461011608623549
Classification,Forbes,0.8511041009463722,C45,,0.470707573244887
Classification,Forbes,0.8511041009463722,C45,,0.471498065229408
Classification,Forbes,0.8511041009463722,C45,,0.48473189607518
Classification,Forbes,0.8511041009463722,C45,,0.499585406301824
Classification,Forbes,0.8511041009463722,C45,,0.465566611387507
Classification,Forbes,0.8511041009463722,SVM,C=0.001,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.01,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.1,0.495185185185185
Classification,Forbes,0.8511041009463722,SVM,C=1.0,0.515157545605307
Classification,Forbes,0.8511041009463722,SVM,C=10.0,0.530718629076838
Classification,Forbes,0.8511041009463722,SVM,C=100,0.521149806522941
Classification,Forbes,0.8511041009463722,SVM,C=1000,0.504140409065782
Classification,Forbes,0.8511041009463722,SVM,C=0.001,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.01,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.1,0.50334991708126
Classification,Forbes,0.8511041009463722,SVM,C=1.0,0.530823659480376
Classification,Forbes,0.8511041009463722,SVM,C=10.0,0.53228855721393
Classification,Forbes,0.8511041009463722,SVM,C=100,0.525610834715312
Classification,Forbes,0.8511041009463722,SVM,C=1000,0.501851851851852
Classification,Forbes,0.8511041009463722,SVM,C=0.001,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.01,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.1,0.501127694859038
Classification,Forbes,0.8511041009463722,SVM,C=1.0,0.523377556661139
Classification,Forbes,0.8511041009463722,SVM,C=10.0,0.533687119955777
Classification,Forbes,0.8511041009463722,SVM,C=100,0.518131564400221
Classification,Forbes,0.8511041009463722,SVM,C=1000,0.508535102266446
