task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.4175,NB,,0.56883763003166
Classification,MetacriticAlbums,0.4175,NB,,0.577860696517413
Classification,MetacriticAlbums,0.4175,NB,,0.56438263229308
Classification,MetacriticAlbums,0.4175,NB,,0.568860244233378
Classification,MetacriticAlbums,0.4175,NB,,0.579398462234283
Classification,MetacriticAlbums,0.4175,NB,,0.573224785165084
Classification,MetacriticAlbums,0.4175,NB,,0.573337856173677
Classification,MetacriticAlbums,0.4175,NB,,0.568928086838535
Classification,MetacriticAlbums,0.4175,NB,,0.550768882858435
Classification,MetacriticAlbums,0.4175,NB,,0.571800090456807
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.580958842152872
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.550949796472185
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.583785617367707
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.58236092265943
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.585391225689733
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.579262777023971
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.583853459972863
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.58236092265943
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.580710085933966
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.571845318860244
Classification,MetacriticAlbums,0.4175,C45,,0.52071460877431
Classification,MetacriticAlbums,0.4175,C45,,0.558344640434193
Classification,MetacriticAlbums,0.4175,C45,,0.539032112166441
Classification,MetacriticAlbums,0.4175,C45,,0.52996381727725
Classification,MetacriticAlbums,0.4175,C45,,0.539099954771597
Classification,MetacriticAlbums,0.4175,C45,,0.506015377657169
Classification,MetacriticAlbums,0.4175,C45,,0.553799185888738
Classification,MetacriticAlbums,0.4175,C45,,0.530031659882406
Classification,MetacriticAlbums,0.4175,C45,,0.547738579828132
Classification,MetacriticAlbums,0.4175,C45,,0.522410673903211
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.618272274988693
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.607734056987788
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.521099050203528
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.510492989597467
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.615264586160109
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.604748982360923
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.549434644957033
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.534486657620986
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.618227046585256
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.606241519674356
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.543215739484396
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.538851198552691
