task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,74.87682896955
Regression,AAUP,0.9875,LR,,74.40825050616527
Regression,AAUP,0.9875,LR,,76.30115490120974
Regression,AAUP,0.9875,LR,,74.08835157494357
Regression,AAUP,0.9875,LR,,73.5394207470356
Regression,AAUP,0.9875,LR,,74.53502386690351
Regression,AAUP,0.9875,LR,,74.5577190154676
Regression,AAUP,0.9875,LR,,74.82704600498802
Regression,AAUP,0.9875,LR,,73.98871245264755
Regression,AAUP,0.9875,LR,,74.84158070538815
Regression,AAUP,0.9875,KNN,K=3,74.52972989427793
Regression,AAUP,0.9875,KNN,K=3,75.13104651194624
Regression,AAUP,0.9875,KNN,K=3,75.0424725822583
Regression,AAUP,0.9875,KNN,K=3,75.16543283667244
Regression,AAUP,0.9875,KNN,K=3,74.04433679953875
Regression,AAUP,0.9875,KNN,K=3,74.53357097089483
Regression,AAUP,0.9875,KNN,K=3,75.72102505377788
Regression,AAUP,0.9875,KNN,K=3,74.29621345901114
Regression,AAUP,0.9875,KNN,K=3,75.49876325626403
Regression,AAUP,0.9875,KNN,K=3,75.2597127236372
Regression,AAUP,0.9875,M5,,98.81934075804823
Regression,AAUP,0.9875,M5,,94.30199718553118
Regression,AAUP,0.9875,M5,,94.61149096099527
Regression,AAUP,0.9875,M5,,98.757575274353
Regression,AAUP,0.9875,M5,,95.51100459866466
Regression,AAUP,0.9875,M5,,96.3284778617416
Regression,AAUP,0.9875,M5,,95.01337617323682
Regression,AAUP,0.9875,M5,,97.51809506853375
Regression,AAUP,0.9875,M5,,99.17308159489548
Regression,AAUP,0.9875,M5,,97.43699583608591
