task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.4175,LR,,17.138339240434064
Regression,MetacriticAlbums,0.4175,LR,,17.724975543274947
Regression,MetacriticAlbums,0.4175,LR,,17.498176966809883
Regression,MetacriticAlbums,0.4175,LR,,17.133499046556082
Regression,MetacriticAlbums,0.4175,LR,,17.996295905113733
Regression,MetacriticAlbums,0.4175,LR,,17.56667097992161
Regression,MetacriticAlbums,0.4175,LR,,17.076836474276092
Regression,MetacriticAlbums,0.4175,LR,,17.287032876383947
Regression,MetacriticAlbums,0.4175,LR,,16.70640230135446
Regression,MetacriticAlbums,0.4175,LR,,17.567572361498904
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.865209135425058
Regression,MetacriticAlbums,0.4175,KNN,K=3,16.14768945898475
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.90931789696323
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.980811672179081
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.81568262018656
Regression,MetacriticAlbums,0.4175,KNN,K=3,16.0544532236535
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.82251033599579
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.93845999051637
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.95349475336651
Regression,MetacriticAlbums,0.4175,KNN,K=3,16.094206370280162
Regression,MetacriticAlbums,0.4175,M5,,19.377491303824215
Regression,MetacriticAlbums,0.4175,M5,,20.85944542612373
Regression,MetacriticAlbums,0.4175,M5,,20.233350699737695
Regression,MetacriticAlbums,0.4175,M5,,19.566584668985467
Regression,MetacriticAlbums,0.4175,M5,,20.348297430452227
Regression,MetacriticAlbums,0.4175,M5,,19.952327731293266
Regression,MetacriticAlbums,0.4175,M5,,20.737656711545178
Regression,MetacriticAlbums,0.4175,M5,,20.48684975679237
Regression,MetacriticAlbums,0.4175,M5,,20.325254477071336
Regression,MetacriticAlbums,0.4175,M5,,20.46079041617153
