task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,23.09932481762173
Regression,MetacriticMovies,0.919,LR,,23.207948976778944
Regression,MetacriticMovies,0.919,LR,,22.991850634737567
Regression,MetacriticMovies,0.919,LR,,23.09217236055875
Regression,MetacriticMovies,0.919,LR,,23.094606671553986
Regression,MetacriticMovies,0.919,LR,,23.16609895622391
Regression,MetacriticMovies,0.919,LR,,23.10722079288496
Regression,MetacriticMovies,0.919,LR,,23.008175899121035
Regression,MetacriticMovies,0.919,LR,,23.117071124892895
Regression,MetacriticMovies,0.919,LR,,23.155940886529475
Regression,MetacriticMovies,0.919,KNN,K=3,25.228634854669878
Regression,MetacriticMovies,0.919,KNN,K=3,25.708870691011477
Regression,MetacriticMovies,0.919,KNN,K=3,25.653076513383787
Regression,MetacriticMovies,0.919,KNN,K=3,25.42414955770392
Regression,MetacriticMovies,0.919,KNN,K=3,25.529676852250027
Regression,MetacriticMovies,0.919,KNN,K=3,25.43511851433644
Regression,MetacriticMovies,0.919,KNN,K=3,25.61548457226916
Regression,MetacriticMovies,0.919,KNN,K=3,25.74874140331213
Regression,MetacriticMovies,0.919,KNN,K=3,25.554572986134666
Regression,MetacriticMovies,0.919,KNN,K=3,25.827314108935315
Regression,MetacriticMovies,0.919,M5,,31.301087178293805
Regression,MetacriticMovies,0.919,M5,,31.738159355436046
Regression,MetacriticMovies,0.919,M5,,31.360708693098797
Regression,MetacriticMovies,0.919,M5,,30.70854544054602
Regression,MetacriticMovies,0.919,M5,,31.83314985208263
Regression,MetacriticMovies,0.919,M5,,31.570928855449534
Regression,MetacriticMovies,0.919,M5,,31.65419584728114
Regression,MetacriticMovies,0.919,M5,,31.9487555607079
Regression,MetacriticMovies,0.919,M5,,31.21039335968778
Regression,MetacriticMovies,0.919,M5,,31.201404963956804
