task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.374400895856663
Classification,AAUP,0.9875,NB,,0.378645016797312
Classification,AAUP,0.9875,NB,,0.383034714445689
Classification,AAUP,0.9875,NB,,0.378611422172452
Classification,AAUP,0.9875,NB,,0.368096304591265
Classification,AAUP,0.9875,NB,,0.374468085106383
Classification,AAUP,0.9875,NB,,0.368073908174692
Classification,AAUP,0.9875,NB,,0.372306830907055
Classification,AAUP,0.9875,NB,,0.372441209406495
Classification,AAUP,0.9875,NB,,0.361836506159015
Classification,AAUP,0.9875,KNN,K=3,0.484087346024636
Classification,AAUP,0.9875,KNN,K=3,0.490447928331467
Classification,AAUP,0.9875,KNN,K=3,0.487469204927212
Classification,AAUP,0.9875,KNN,K=3,0.487357222844345
Classification,AAUP,0.9875,KNN,K=3,0.501097424412094
Classification,AAUP,0.9875,KNN,K=3,0.504288913773796
Classification,AAUP,0.9875,KNN,K=3,0.466170212765957
Classification,AAUP,0.9875,KNN,K=3,0.473594624860022
Classification,AAUP,0.9875,KNN,K=3,0.496786114221724
Classification,AAUP,0.9875,KNN,K=3,0.481030235162374
Classification,AAUP,0.9875,C45,,0.480884658454647
Classification,AAUP,0.9875,C45,,0.503180291153415
Classification,AAUP,0.9875,C45,,0.486248600223964
Classification,AAUP,0.9875,C45,,0.47572228443449
Classification,AAUP,0.9875,C45,,0.497838745800672
Classification,AAUP,0.9875,C45,,0.483225083986562
Classification,AAUP,0.9875,C45,,0.476718924972005
Classification,AAUP,0.9875,C45,,0.497883538633819
Classification,AAUP,0.9875,C45,,0.488320268756999
Classification,AAUP,0.9875,C45,,0.46424412094065
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.565375139977604
Classification,AAUP,0.9875,SVM,C=1.0,0.59073908174692
Classification,AAUP,0.9875,SVM,C=10.0,0.573840985442329
Classification,AAUP,0.9875,SVM,C=100,0.54
Classification,AAUP,0.9875,SVM,C=1000,0.493583426651736
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.562217245240761
Classification,AAUP,0.9875,SVM,C=1.0,0.594904815229563
Classification,AAUP,0.9875,SVM,C=10.0,0.575912653975364
Classification,AAUP,0.9875,SVM,C=100,0.538969764837626
Classification,AAUP,0.9875,SVM,C=1000,0.477805151175812
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.566450167973124
Classification,AAUP,0.9875,SVM,C=1.0,0.595991041433371
Classification,AAUP,0.9875,SVM,C=10.0,0.579126539753639
Classification,AAUP,0.9875,SVM,C=100,0.542172452407615
Classification,AAUP,0.9875,SVM,C=1000,0.468432250839866
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.560123180291153
Classification,AAUP,0.9875,SVM,C=1.0,0.592810750279955
Classification,AAUP,0.9875,SVM,C=10.0,0.574893617021276
Classification,AAUP,0.9875,SVM,C=100,0.535834266517357
Classification,AAUP,0.9875,SVM,C=1000,0.485263157894737
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.564333706606943
Classification,AAUP,0.9875,SVM,C=1.0,0.595957446808511
Classification,AAUP,0.9875,SVM,C=10.0,0.56956326987682
Classification,AAUP,0.9875,SVM,C=100,0.533740201567749
Classification,AAUP,0.9875,SVM,C=1000,0.454692049272116
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.564389697648376
Classification,AAUP,0.9875,SVM,C=1.0,0.592866741321389
Classification,AAUP,0.9875,SVM,C=10.0,0.5791601343785
Classification,AAUP,0.9875,SVM,C=100,0.526438969764838
Classification,AAUP,0.9875,SVM,C=1000,0.476920492721165
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
