task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.556569256355429
Classification,MetacriticMovies,0.919,NB,,0.558781777144215
Classification,MetacriticMovies,0.919,NB,,0.560934901401758
Classification,MetacriticMovies,0.919,NB,,0.556536588263245
Classification,MetacriticMovies,0.919,NB,,0.556593014967926
Classification,MetacriticMovies,0.919,NB,,0.562015918270373
Classification,MetacriticMovies,0.919,NB,,0.553323235923022
Classification,MetacriticMovies,0.919,NB,,0.559280708006652
Classification,MetacriticMovies,0.919,NB,,0.5522036113091
Classification,MetacriticMovies,0.919,NB,,0.556613803753861
Classification,MetacriticMovies,0.919,KNN,K=3,0.520147303397482
Classification,MetacriticMovies,0.919,KNN,K=3,0.522829056783084
Classification,MetacriticMovies,0.919,KNN,K=3,0.522285578522214
Classification,MetacriticMovies,0.919,KNN,K=3,0.536451651223568
Classification,MetacriticMovies,0.919,KNN,K=3,0.529926942266572
Classification,MetacriticMovies,0.919,KNN,K=3,0.52993882157282
Classification,MetacriticMovies,0.919,KNN,K=3,0.503311356616774
Classification,MetacriticMovies,0.919,KNN,K=3,0.522826086956522
Classification,MetacriticMovies,0.919,KNN,K=3,0.531002019482062
Classification,MetacriticMovies,0.919,KNN,K=3,0.516348895224519
Classification,MetacriticMovies,0.919,C45,,0.517409123307199
Classification,MetacriticMovies,0.919,C45,,0.520681872178665
Classification,MetacriticMovies,0.919,C45,,0.507086006177239
Classification,MetacriticMovies,0.919,C45,,0.537520788785935
Classification,MetacriticMovies,0.919,C45,,0.534245070087907
Classification,MetacriticMovies,0.919,C45,,0.514151223568544
Classification,MetacriticMovies,0.919,C45,,0.539742219054407
Classification,MetacriticMovies,0.919,C45,,0.513557258256118
Classification,MetacriticMovies,0.919,C45,,0.523901164172012
Classification,MetacriticMovies,0.919,C45,,0.533766928011404
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.600115823235923
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.58487764314564
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.561475409836066
Classification,MetacriticMovies,0.919,SVM,C=100,0.551683891660727
Classification,MetacriticMovies,0.919,SVM,C=1000,0.535340936089332
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.60118496079829
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.592498218104063
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.558769897837966
Classification,MetacriticMovies,0.919,SVM,C=100,0.551122594440485
Classification,MetacriticMovies,0.919,SVM,C=1000,0.534245070087907
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.595218579234973
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.588679021145165
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.563138512710858
Classification,MetacriticMovies,0.919,SVM,C=100,0.55005642670468
Classification,MetacriticMovies,0.919,SVM,C=1000,0.538631503920171
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.599536707056308
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.589783796626277
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.562559396531243
Classification,MetacriticMovies,0.919,SVM,C=100,0.568009028272749
Classification,MetacriticMovies,0.919,SVM,C=1000,0.53321751009741
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.597935970539321
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.590870753148016
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.563664172012354
Classification,MetacriticMovies,0.919,SVM,C=100,0.560361724875267
Classification,MetacriticMovies,0.919,SVM,C=1000,0.54566108339273
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.599515918270373
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.593570325492991
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.562012948443811
Classification,MetacriticMovies,0.919,SVM,C=100,0.545156212877168
Classification,MetacriticMovies,0.919,SVM,C=1000,0.533205630791162
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.600626633404609
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.58104062722737
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.552764908529342
Classification,MetacriticMovies,0.919,SVM,C=100,0.545678902352103
Classification,MetacriticMovies,0.919,SVM,C=1000,0.529929912093134
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.598425991922072
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.589228439059159
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.558755048705156
Classification,MetacriticMovies,0.919,SVM,C=100,0.555470420527441
Classification,MetacriticMovies,0.919,SVM,C=1000,0.534800427655025
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.601746258018532
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.591942860536945
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.566369684010454
Classification,MetacriticMovies,0.919,SVM,C=100,0.557112734616298
Classification,MetacriticMovies,0.919,SVM,C=1000,0.544577096697553
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.59962283202661
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.588162271323355
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.570212639581848
Classification,MetacriticMovies,0.919,SVM,C=100,0.547915181753386
Classification,MetacriticMovies,0.919,SVM,C=1000,0.533214540270848
