task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification Cities NB - accuracy 14 17 17
Classification Cities KNN K=3 accuracy 16 17 17
Classification Cities C45 - accuracy 16 17 17
Classification Cities SVM C=0.001 accuracy 0 17 4
Classification Cities SVM C=0.01 accuracy 0 17 4
Classification Cities SVM C=0.1 accuracy 2 17 8
Classification Cities SVM C=1.0 accuracy 15 17 17
Classification Cities SVM C=10.0 accuracy 16 17 17
Classification Cities SVM C=100 accuracy 16 17 17
Classification Cities SVM C=1000 accuracy 16 17 17
Classification MetacriticMovies NB - accuracy 7 17 17
Classification MetacriticMovies KNN K=3 accuracy 15 17 17
Classification MetacriticMovies C45 - accuracy 14 17 17
Classification MetacriticMovies SVM C=0.001 accuracy 3 17 5
Classification MetacriticMovies SVM C=0.01 accuracy 3 17 5
Classification MetacriticMovies SVM C=0.1 accuracy 3 17 17
Classification MetacriticMovies SVM C=1.0 accuracy 7 17 17
Classification MetacriticMovies SVM C=10.0 accuracy 15 17 17
Classification MetacriticMovies SVM C=100 accuracy 13 17 17
Classification MetacriticMovies SVM C=1000 accuracy 13 17 17
Classification MetacriticAlbums NB - accuracy 16 17 17
Classification MetacriticAlbums KNN K=3 accuracy 4 17 17
Classification MetacriticAlbums C45 - accuracy 7 17 17
Classification MetacriticAlbums SVM C=0.001 accuracy 3 17 9
Classification MetacriticAlbums SVM C=0.01 accuracy 3 17 9
Classification MetacriticAlbums SVM C=0.1 accuracy 3 17 9
Classification MetacriticAlbums SVM C=1.0 accuracy 7 17 17
Classification MetacriticAlbums SVM C=10.0 accuracy 11 17 17
Classification MetacriticAlbums SVM C=100 accuracy 2 17 17
Classification MetacriticAlbums SVM C=1000 accuracy 1 17 17
Classification AAUP NB - accuracy 14 17 17
Classification AAUP KNN K=3 accuracy 16 17 17
Classification AAUP C45 - accuracy 12 17 17
Classification AAUP SVM C=0.001 accuracy 4 17 5
Classification AAUP SVM C=0.01 accuracy 4 17 5
Classification AAUP SVM C=0.1 accuracy 11 17 17
Classification AAUP SVM C=1.0 accuracy 13 17 17
Classification AAUP SVM C=10.0 accuracy 14 17 17
Classification AAUP SVM C=100 accuracy 12 17 17
Classification AAUP SVM C=1000 accuracy 12 17 17
Classification Forbes NB - accuracy 15 17 17
Classification Forbes KNN K=3 accuracy 15 17 17
Classification Forbes C45 - accuracy 9 17 17
Classification Forbes SVM C=0.001 accuracy 12 17 10
Classification Forbes SVM C=0.01 accuracy 12 17 10
Classification Forbes SVM C=0.1 accuracy 4 17 17
Classification Forbes SVM C=1.0 accuracy 6 17 17
Classification Forbes SVM C=10.0 accuracy 7 17 17
Classification Forbes SVM C=100 accuracy 11 17 17
Classification Forbes SVM C=1000 accuracy 14 17 17
Regression Cities LR - root_mean_squared_error 12 17 17
Regression Cities KNN K=3 root_mean_squared_error 16 17 17
Regression Cities M5 - root_mean_squared_error 5 17 17
Regression MetacriticMovies LR - root_mean_squared_error 14 17 17
Regression MetacriticMovies KNN K=3 root_mean_squared_error 15 17 17
Regression MetacriticMovies M5 - root_mean_squared_error 12 17 17
