test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 NB - accuracy 0.4574047619047618
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 KNN K=3 accuracy 0.5058333333333331
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 C45 - accuracy 0.4842142857142858
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 SVM C=0.001 accuracy 0.4977857142857145
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 SVM C=0.01 accuracy 0.4977857142857145
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 SVM C=0.1 accuracy 0.4977857142857145
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 SVM C=1.0 accuracy 0.6432857142857145
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 SVM C=10.0 accuracy 0.6178095238095238
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 SVM C=100 accuracy 0.6042142857142857
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification Cities 0.9858490566037736 SVM C=1000 accuracy 0.5654285714285715
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification MetacriticMovies 0.919 NB - accuracy 0.5583909479686386
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification MetacriticMovies 0.919 KNN K=3 accuracy 0.5607656212877168
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification MetacriticMovies 0.919 C45 - accuracy 0.5245937277263009
models\model_minedgecut\vectors_aligned3_filtered_100_cosine_2_1 Classification MetacriticMovies 0.919 SVM C=0.001 accuracy 0.50761760513186
