task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,Forbes,0.8517350157728707,NB,,0.15037037037037
Classification,Forbes,0.8517350157728707,NB,,0.14962962962963
Classification,Forbes,0.8517350157728707,NB,,0.145925925925926
Classification,Forbes,0.8517350157728707,NB,,0.145185185185185
Classification,Forbes,0.8517350157728707,NB,,0.151851851851852
Classification,Forbes,0.8517350157728707,NB,,0.151851851851852
Classification,Forbes,0.8517350157728707,NB,,0.151851851851852
Classification,Forbes,0.8517350157728707,NB,,0.151851851851852
Classification,Forbes,0.8517350157728707,NB,,0.148148148148148
Classification,Forbes,0.8517350157728707,NB,,0.148888888888889
Classification,Forbes,0.8517350157728707,KNN,K=3,0.443703703703704
Classification,Forbes,0.8517350157728707,KNN,K=3,0.438518518518518
Classification,Forbes,0.8517350157728707,KNN,K=3,0.442962962962963
Classification,Forbes,0.8517350157728707,KNN,K=3,0.441481481481482
Classification,Forbes,0.8517350157728707,KNN,K=3,0.438518518518518
Classification,Forbes,0.8517350157728707,KNN,K=3,0.45037037037037
Classification,Forbes,0.8517350157728707,KNN,K=3,0.454814814814815
Classification,Forbes,0.8517350157728707,KNN,K=3,0.451111111111111
Classification,Forbes,0.8517350157728707,KNN,K=3,0.442222222222222
Classification,Forbes,0.8517350157728707,KNN,K=3,0.447407407407407
Classification,Forbes,0.8517350157728707,C45,,0.474074074074074
Classification,Forbes,0.8517350157728707,C45,,0.456296296296296
Classification,Forbes,0.8517350157728707,C45,,0.475555555555556
Classification,Forbes,0.8517350157728707,C45,,0.453333333333333
Classification,Forbes,0.8517350157728707,C45,,0.48
Classification,Forbes,0.8517350157728707,C45,,0.45037037037037
Classification,Forbes,0.8517350157728707,C45,,0.484444444444444
Classification,Forbes,0.8517350157728707,C45,,0.46
Classification,Forbes,0.8517350157728707,C45,,0.451111111111111
Classification,Forbes,0.8517350157728707,C45,,0.477037037037037
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.520740740740741
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.524444444444444
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.52
Classification,Forbes,0.8517350157728707,SVM,C=100,0.500740740740741
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.496296296296296
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.52
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.524444444444444
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.518518518518518
Classification,Forbes,0.8517350157728707,SVM,C=100,0.502962962962963
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.488148148148148
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.524444444444444
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.526666666666667
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.52
Classification,Forbes,0.8517350157728707,SVM,C=100,0.496296296296296
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.481481481481482
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.520740740740741
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.53037037037037
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.52962962962963
Classification,Forbes,0.8517350157728707,SVM,C=100,0.517037037037037
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.482222222222222
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.521481481481481
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.518518518518518
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.514814814814815
Classification,Forbes,0.8517350157728707,SVM,C=100,0.498518518518518
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.468888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.519259259259259
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.524444444444444
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.520740740740741
Classification,Forbes,0.8517350157728707,SVM,C=100,0.497037037037037
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.477037037037037
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.518518518518518
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.525185185185185
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.514074074074074
Classification,Forbes,0.8517350157728707,SVM,C=100,0.480740740740741
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.474074074074074
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.517777777777778
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.526666666666667
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.528148148148148
Classification,Forbes,0.8517350157728707,SVM,C=100,0.502222222222222
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.479259259259259
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.517037037037037
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.520740740740741
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.517777777777778
Classification,Forbes,0.8517350157728707,SVM,C=100,0.502222222222222
Classification,Forbes,0.8517350157728707,SVM,C=1000,0.471851851851852
Classification,Forbes,0.8517350157728707,SVM,C=0.001,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.01,0.488888888888889
Classification,Forbes,0.8517350157728707,SVM,C=0.1,0.514814814814815
Classification,Forbes,0.8517350157728707,SVM,C=1.0,0.526666666666667
Classification,Forbes,0.8517350157728707,SVM,C=10.0,0.520740740740741
Classification,Forbes,0.8517350157728707,SVM,C=100,0.494814814814815
