task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.45375,NB,,0.442142313546423
Classification,MetacriticAlbums,0.45375,NB,,0.439326484018265
Classification,MetacriticAlbums,0.45375,NB,,0.444767884322679
Classification,MetacriticAlbums,0.45375,NB,,0.439573820395738
Classification,MetacriticAlbums,0.45375,NB,,0.446404109589041
Classification,MetacriticAlbums,0.45375,NB,,0.45437595129376
Classification,MetacriticAlbums,0.45375,NB,,0.440772450532724
Classification,MetacriticAlbums,0.45375,NB,,0.440620243531202
Classification,MetacriticAlbums,0.45375,NB,,0.443721461187215
Classification,MetacriticAlbums,0.45375,NB,,0.43822298325723
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.568702435312024
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.563299086757991
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.56619101978691
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.570414764079148
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.582724505327245
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.568835616438356
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.574410197869102
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.568702435312024
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.557610350076104
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.548211567732116
Classification,MetacriticAlbums,0.45375,C45,,0.555098934550989
Classification,MetacriticAlbums,0.45375,C45,,0.541400304414003
Classification,MetacriticAlbums,0.45375,C45,,0.533047945205479
Classification,MetacriticAlbums,0.45375,C45,,0.526198630136986
Classification,MetacriticAlbums,0.45375,C45,,0.530251141552512
Classification,MetacriticAlbums,0.45375,C45,,0.566000761035008
Classification,MetacriticAlbums,0.45375,C45,,0.55367199391172
Classification,MetacriticAlbums,0.45375,C45,,0.563489345509894
Classification,MetacriticAlbums,0.45375,C45,,0.559246575342466
Classification,MetacriticAlbums,0.45375,C45,,0.53455098934551
Classification,MetacriticAlbums,0.45375,SVM,C=0.001,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=0.01,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=0.1,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=1.0,0.623972602739726
Classification,MetacriticAlbums,0.45375,SVM,C=10.0,0.59777397260274
Classification,MetacriticAlbums,0.45375,SVM,C=100,0.54556697108067
