task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,84.69015488704946
Regression,AAUP,0.9875,LR,,86.89924398223381
Regression,AAUP,0.9875,LR,,84.39013889515694
Regression,AAUP,0.9875,LR,,84.21746086690305
Regression,AAUP,0.9875,LR,,85.64143579819677
Regression,AAUP,0.9875,LR,,85.70229114446691
Regression,AAUP,0.9875,LR,,86.14206419986267
Regression,AAUP,0.9875,LR,,83.41997138624129
Regression,AAUP,0.9875,LR,,84.78851999168647
Regression,AAUP,0.9875,LR,,85.10506869266968
Regression,AAUP,0.9875,KNN,K=3,90.98587467716726
Regression,AAUP,0.9875,KNN,K=3,90.52009703495563
Regression,AAUP,0.9875,KNN,K=3,91.60071288563461
Regression,AAUP,0.9875,KNN,K=3,89.32971864802084
Regression,AAUP,0.9875,KNN,K=3,91.00846512324429
Regression,AAUP,0.9875,KNN,K=3,90.57336690525203
Regression,AAUP,0.9875,KNN,K=3,89.65098286804923
Regression,AAUP,0.9875,KNN,K=3,91.83008075973774
Regression,AAUP,0.9875,KNN,K=3,91.52624688266947
Regression,AAUP,0.9875,KNN,K=3,90.77353965818443
Regression,AAUP,0.9875,M5,,112.40906804439248
Regression,AAUP,0.9875,M5,,112.67609190007065
Regression,AAUP,0.9875,M5,,110.21453853287626
Regression,AAUP,0.9875,M5,,108.53807302132414
Regression,AAUP,0.9875,M5,,112.35242772635506
Regression,AAUP,0.9875,M5,,113.67618446961849
Regression,AAUP,0.9875,M5,,107.49304871836186
Regression,AAUP,0.9875,M5,,113.8888436665043
Regression,AAUP,0.9875,M5,,108.40370752585645
Regression,AAUP,0.9875,M5,,110.50107721947636
