task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.45375,LR,,15.763036827248772
Regression,MetacriticAlbums,0.45375,LR,,15.909860787535
Regression,MetacriticAlbums,0.45375,LR,,15.722087734249246
Regression,MetacriticAlbums,0.45375,LR,,15.940301667118385
Regression,MetacriticAlbums,0.45375,LR,,15.578843434448123
Regression,MetacriticAlbums,0.45375,LR,,16.161520777479844
Regression,MetacriticAlbums,0.45375,LR,,15.36726727237741
Regression,MetacriticAlbums,0.45375,LR,,15.581945668315495
Regression,MetacriticAlbums,0.45375,LR,,15.800642304909218
Regression,MetacriticAlbums,0.45375,LR,,15.672353463789872
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.057272866835813
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.252544484836864
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.080247466788826
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.294854661973755
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.281573329357734
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.499935362228065
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.454698591856395
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.229461652433894
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.3841366264586
Regression,MetacriticAlbums,0.45375,KNN,K=3,16.45122450326309
Regression,MetacriticAlbums,0.45375,M5,,19.843990058843914
Regression,MetacriticAlbums,0.45375,M5,,19.407067564447306
Regression,MetacriticAlbums,0.45375,M5,,19.62929889229484
Regression,MetacriticAlbums,0.45375,M5,,19.720005562776056
Regression,MetacriticAlbums,0.45375,M5,,20.041209023645308
Regression,MetacriticAlbums,0.45375,M5,,19.79655667233429
Regression,MetacriticAlbums,0.45375,M5,,20.070653814930388
Regression,MetacriticAlbums,0.45375,M5,,18.807242512849562
Regression,MetacriticAlbums,0.45375,M5,,19.36003871760666
Regression,MetacriticAlbums,0.45375,M5,,20.03120388640338
