task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,24.122899733340297
Regression,MetacriticMovies,0.919,LR,,24.127626983384395
Regression,MetacriticMovies,0.919,LR,,23.96928303399277
Regression,MetacriticMovies,0.919,LR,,23.98567414411788
Regression,MetacriticMovies,0.919,LR,,24.126157168313064
Regression,MetacriticMovies,0.919,LR,,24.105422625694377
Regression,MetacriticMovies,0.919,LR,,24.191712956208114
Regression,MetacriticMovies,0.919,LR,,24.026623937592777
Regression,MetacriticMovies,0.919,LR,,24.119055799048414
Regression,MetacriticMovies,0.919,LR,,23.848566441884287
Regression,MetacriticMovies,0.919,KNN,K=3,26.31805224335393
Regression,MetacriticMovies,0.919,KNN,K=3,26.416911369099218
Regression,MetacriticMovies,0.919,KNN,K=3,26.441978275838267
Regression,MetacriticMovies,0.919,KNN,K=3,26.08249048581945
Regression,MetacriticMovies,0.919,KNN,K=3,25.905845641006657
Regression,MetacriticMovies,0.919,KNN,K=3,26.164559452608636
Regression,MetacriticMovies,0.919,KNN,K=3,26.443784138112612
Regression,MetacriticMovies,0.919,KNN,K=3,26.387016902147785
Regression,MetacriticMovies,0.919,KNN,K=3,26.207552498435888
Regression,MetacriticMovies,0.919,KNN,K=3,26.387403428261177
Regression,MetacriticMovies,0.919,M5,,31.39271357009543
Regression,MetacriticMovies,0.919,M5,,31.93820929441632
Regression,MetacriticMovies,0.919,M5,,31.65325337534182
Regression,MetacriticMovies,0.919,M5,,31.710200718168853
Regression,MetacriticMovies,0.919,M5,,31.53531048231927
Regression,MetacriticMovies,0.919,M5,,31.87231370025096
Regression,MetacriticMovies,0.919,M5,,31.861548013035776
Regression,MetacriticMovies,0.919,M5,,32.65368861749939
Regression,MetacriticMovies,0.919,M5,,30.78400023579885
Regression,MetacriticMovies,0.919,M5,,30.979573879072735
