task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.492564389697648
Classification,AAUP,0.9875,NB,,0.488264277715566
Classification,AAUP,0.9875,NB,,0.48424412094065
Classification,AAUP,0.9875,NB,,0.471444568868981
Classification,AAUP,0.9875,NB,,0.481959686450168
Classification,AAUP,0.9875,NB,,0.47582306830907
Classification,AAUP,0.9875,NB,,0.46939529675252
Classification,AAUP,0.9875,NB,,0.493393057110862
Classification,AAUP,0.9875,NB,,0.491690929451288
Classification,AAUP,0.9875,NB,,0.48525195968645
Classification,AAUP,0.9875,KNN,K=3,0.498924972004479
Classification,AAUP,0.9875,KNN,K=3,0.504199328107503
Classification,AAUP,0.9875,KNN,K=3,0.503169092945129
Classification,AAUP,0.9875,KNN,K=3,0.492631578947368
Classification,AAUP,0.9875,KNN,K=3,0.50936170212766
Classification,AAUP,0.9875,KNN,K=3,0.50535274356103
Classification,AAUP,0.9875,KNN,K=3,0.496797312430011
Classification,AAUP,0.9875,KNN,K=3,0.495767077267637
Classification,AAUP,0.9875,KNN,K=3,0.511601343784994
Classification,AAUP,0.9875,KNN,K=3,0.485195968645017
Classification,AAUP,0.9875,C45,,0.460895856662934
Classification,AAUP,0.9875,C45,,0.485341545352744
Classification,AAUP,0.9875,C45,,0.490358342665174
Classification,AAUP,0.9875,C45,,0.480963045912654
Classification,AAUP,0.9875,C45,,0.480011198208287
Classification,AAUP,0.9875,C45,,0.467446808510638
Classification,AAUP,0.9875,C45,,0.462049272116461
Classification,AAUP,0.9875,C45,,0.476718924972004
Classification,AAUP,0.9875,C45,,0.489552071668533
Classification,AAUP,0.9875,C45,,0.472620380739082
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.569652855543113
Classification,AAUP,0.9875,SVM,C=1.0,0.589675251959686
Classification,AAUP,0.9875,SVM,C=10.0,0.570660694288914
Classification,AAUP,0.9875,SVM,C=100,0.523124300111982
