task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.45375,NB,,0.439459665144597
Classification,MetacriticAlbums,0.45375,NB,,0.431088280060883
Classification,MetacriticAlbums,0.45375,NB,,0.437880517503805
Classification,MetacriticAlbums,0.45375,NB,,0.442256468797565
Classification,MetacriticAlbums,0.45375,NB,,0.454718417047184
Classification,MetacriticAlbums,0.45375,NB,,0.444767884322679
Classification,MetacriticAlbums,0.45375,NB,,0.459969558599696
Classification,MetacriticAlbums,0.45375,NB,,0.444729832572298
Classification,MetacriticAlbums,0.45375,NB,,0.464440639269406
Classification,MetacriticAlbums,0.45375,NB,,0.470053272450533
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.562024353120244
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.557876712328767
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.549790715372907
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.567351598173516
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.559208523592085
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.559208523592085
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.566076864535768
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.566038812785388
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.559151445966514
Classification,MetacriticAlbums,0.45375,KNN,K=3,0.555003805175038
Classification,MetacriticAlbums,0.45375,C45,,0.549562404870624
Classification,MetacriticAlbums,0.45375,C45,,0.505441400304414
Classification,MetacriticAlbums,0.45375,C45,,0.517960426179604
Classification,MetacriticAlbums,0.45375,C45,,0.549562404870624
Classification,MetacriticAlbums,0.45375,C45,,0.51248097412481
Classification,MetacriticAlbums,0.45375,C45,,0.512633181126332
Classification,MetacriticAlbums,0.45375,C45,,0.532933789954338
Classification,MetacriticAlbums,0.45375,C45,,0.541229071537291
Classification,MetacriticAlbums,0.45375,C45,,0.526236681887367
Classification,MetacriticAlbums,0.45375,C45,,0.539935312024353
Classification,MetacriticAlbums,0.45375,SVM,C=0.001,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=0.01,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=0.1,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=1.0,0.621232876712329
Classification,MetacriticAlbums,0.45375,SVM,C=10.0,0.606107305936073
Classification,MetacriticAlbums,0.45375,SVM,C=100,0.578538812785388
Classification,MetacriticAlbums,0.45375,SVM,C=1000,0.571689497716895
Classification,MetacriticAlbums,0.45375,SVM,C=0.001,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=0.01,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=0.1,0.625342465753425
Classification,MetacriticAlbums,0.45375,SVM,C=1.0,0.621232876712329
