task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.553299477310525
Classification,MetacriticMovies,0.919,NB,,0.532674031836541
Classification,MetacriticMovies,0.919,NB,,0.55277678783559
Classification,MetacriticMovies,0.919,NB,,0.547891423140889
Classification,MetacriticMovies,0.919,NB,,0.553869684010454
Classification,MetacriticMovies,0.919,NB,,0.570714540270848
Classification,MetacriticMovies,0.919,NB,,0.552732240437158
Classification,MetacriticMovies,0.919,NB,,0.563628534093609
Classification,MetacriticMovies,0.919,NB,,0.532056307911618
Classification,MetacriticMovies,0.919,NB,,0.550053456878118
Classification,MetacriticMovies,0.919,KNN,K=3,0.514721430268472
Classification,MetacriticMovies,0.919,KNN,K=3,0.508692682347351
Classification,MetacriticMovies,0.919,KNN,K=3,0.509256949394155
Classification,MetacriticMovies,0.919,KNN,K=3,0.526663102874792
Classification,MetacriticMovies,0.919,KNN,K=3,0.520105725825612
Classification,MetacriticMovies,0.919,KNN,K=3,0.521792587312901
Classification,MetacriticMovies,0.919,KNN,K=3,0.49514433357092
Classification,MetacriticMovies,0.919,KNN,K=3,0.513031598954621
Classification,MetacriticMovies,0.919,KNN,K=3,0.519568187217866
Classification,MetacriticMovies,0.919,KNN,K=3,0.508208600617724
Classification,MetacriticMovies,0.919,C45,,0.528314326443336
Classification,MetacriticMovies,0.919,C45,,0.504864575908767
Classification,MetacriticMovies,0.919,C45,,0.531539558089808
Classification,MetacriticMovies,0.919,C45,,0.520690781658351
Classification,MetacriticMovies,0.919,C45,,0.514665003563792
Classification,MetacriticMovies,0.919,C45,,0.522834996436208
Classification,MetacriticMovies,0.919,C45,,0.504356735566643
Classification,MetacriticMovies,0.919,C45,,0.511947612259444
Classification,MetacriticMovies,0.919,C45,,0.520678902352103
Classification,MetacriticMovies,0.919,C45,,0.512529698265621
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.574548586362556
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.548960560703255
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.555491209313376
Classification,MetacriticMovies,0.919,SVM,C=100,0.545714540270848
Classification,MetacriticMovies,0.919,SVM,C=1000,0.537529698265621
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.57181931575196
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.54571751009741
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.538652292706106
Classification,MetacriticMovies,0.919,SVM,C=100,0.536974340698503
