task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification Cities NB - accuracy 13 14 14
Classification Cities KNN K=3 accuracy 13 14 14
Classification Cities C45 - accuracy 13 14 14
Classification Cities SVM C=0.001 accuracy 0 14 4
Classification Cities SVM C=0.01 accuracy 0 14 4
Classification Cities SVM C=0.1 accuracy 1 14 5
Classification Cities SVM C=1.0 accuracy 13 14 14
Classification Cities SVM C=10.0 accuracy 13 14 14
Classification Cities SVM C=100 accuracy 13 14 14
Classification Cities SVM C=1000 accuracy 13 14 14
Classification MetacriticMovies NB - accuracy 5 14 14
Classification MetacriticMovies KNN K=3 accuracy 13 14 14
Classification MetacriticMovies C45 - accuracy 13 14 14
Classification MetacriticMovies SVM C=0.001 accuracy 3 14 5
Classification MetacriticMovies SVM C=0.01 accuracy 3 14 5
Classification MetacriticMovies SVM C=0.1 accuracy 3 14 14
Classification MetacriticMovies SVM C=1.0 accuracy 13 14 14
Classification MetacriticMovies SVM C=10.0 accuracy 13 14 14
Classification MetacriticMovies SVM C=100 accuracy 13 14 14
Classification MetacriticMovies SVM C=1000 accuracy 13 14 14
Classification MetacriticAlbums NB - accuracy 13 14 14
Classification MetacriticAlbums KNN K=3 accuracy 7 14 14
Classification MetacriticAlbums C45 - accuracy 8 14 14
Classification MetacriticAlbums SVM C=0.001 accuracy 2 14 8
Classification MetacriticAlbums SVM C=0.01 accuracy 2 14 8
Classification MetacriticAlbums SVM C=0.1 accuracy 2 14 8
Classification MetacriticAlbums SVM C=1.0 accuracy 2 14 14
Classification MetacriticAlbums SVM C=10.0 accuracy 8 14 14
Classification MetacriticAlbums SVM C=100 accuracy 2 14 14
Classification MetacriticAlbums SVM C=1000 accuracy 0 14 14
Classification AAUP NB - accuracy 3 14 14
Classification AAUP KNN K=3 accuracy 13 14 14
Classification AAUP C45 - accuracy 12 14 14
Classification AAUP SVM C=0.001 accuracy 4 14 5
Classification AAUP SVM C=0.01 accuracy 4 14 5
Classification AAUP SVM C=0.1 accuracy 8 14 14
Classification AAUP SVM C=1.0 accuracy 13 14 14
