test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 NB - accuracy 0.45614285714285707
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 KNN K=3 accuracy 0.5872857142857144
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 C45 - accuracy 0.490095238095238
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 SVM C=0.001 accuracy 0.4977857142857145
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 SVM C=0.01 accuracy 0.4977857142857145
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 SVM C=0.1 accuracy 0.4977857142857145
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 SVM C=1.0 accuracy 0.6882857142857143
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 SVM C=10.0 accuracy 0.6752142857142857
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 SVM C=100 accuracy 0.6294285714285713
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification Cities 0.9858490566037736 SVM C=1000 accuracy 0.5805952380952378
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 NB - accuracy 0.5310165716322167
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 KNN K=3 accuracy 0.5595120574958421
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 C45 - accuracy 0.5372781539558089
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 SVM C=0.001 accuracy 0.50761760513186
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 SVM C=0.01 accuracy 0.50761760513186
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 SVM C=0.1 accuracy 0.551418983131385
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 SVM C=1.0 accuracy 0.5854724994060347
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 SVM C=10.0 accuracy 0.5936270491803277
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 SVM C=100 accuracy 0.5872083630315992
models\model_minedgecut\vectors_nd_100_cosine_2_2 Classification MetacriticMovies 0.919 SVM C=1000 accuracy 0.5637669280114043
