task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,85.06013428023509
Regression,AAUP,0.9875,LR,,85.02916217111137
Regression,AAUP,0.9875,LR,,85.65572676433014
Regression,AAUP,0.9875,LR,,85.56421718599108
Regression,AAUP,0.9875,LR,,83.86928995503814
Regression,AAUP,0.9875,LR,,84.46723287165142
Regression,AAUP,0.9875,LR,,83.88927806419632
Regression,AAUP,0.9875,LR,,84.89826689558205
Regression,AAUP,0.9875,LR,,83.10615803806772
Regression,AAUP,0.9875,LR,,82.92153219560478
Regression,AAUP,0.9875,KNN,K=3,84.81821640907532
Regression,AAUP,0.9875,KNN,K=3,84.68859800408111
Regression,AAUP,0.9875,KNN,K=3,85.79180374185528
Regression,AAUP,0.9875,KNN,K=3,84.10344854307881
Regression,AAUP,0.9875,KNN,K=3,84.19502007625658
Regression,AAUP,0.9875,KNN,K=3,84.52891224929787
Regression,AAUP,0.9875,KNN,K=3,84.70375750154837
Regression,AAUP,0.9875,KNN,K=3,84.9974819057065
Regression,AAUP,0.9875,KNN,K=3,85.43108842804898
Regression,AAUP,0.9875,KNN,K=3,84.63351343906514
Regression,AAUP,0.9875,M5,,103.60894017929726
Regression,AAUP,0.9875,M5,,104.91197648677692
Regression,AAUP,0.9875,M5,,105.5182274974676
Regression,AAUP,0.9875,M5,,105.59211510391935
Regression,AAUP,0.9875,M5,,101.14702428830245
Regression,AAUP,0.9875,M5,,106.66324802020374
Regression,AAUP,0.9875,M5,,106.84683621066381
Regression,AAUP,0.9875,M5,,105.34708157600778
Regression,AAUP,0.9875,M5,,104.02981337322304
Regression,AAUP,0.9875,M5,,107.89575193708447
