task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,24.09432694982366
Regression,MetacriticMovies,0.919,LR,,24.027168831029165
Regression,MetacriticMovies,0.919,LR,,24.10548898204014
Regression,MetacriticMovies,0.919,LR,,23.89868535808333
Regression,MetacriticMovies,0.919,LR,,24.011976231330305
Regression,MetacriticMovies,0.919,LR,,23.934438039301774
Regression,MetacriticMovies,0.919,LR,,23.95082497546422
Regression,MetacriticMovies,0.919,LR,,24.0939932839456
Regression,MetacriticMovies,0.919,LR,,24.05214190127002
Regression,MetacriticMovies,0.919,LR,,23.999717348007827
Regression,MetacriticMovies,0.919,KNN,K=3,26.159254938871204
Regression,MetacriticMovies,0.919,KNN,K=3,26.336944549966358
Regression,MetacriticMovies,0.919,KNN,K=3,26.451744372053714
Regression,MetacriticMovies,0.919,KNN,K=3,26.01042090908802
Regression,MetacriticMovies,0.919,KNN,K=3,25.92595397361938
Regression,MetacriticMovies,0.919,KNN,K=3,26.020978916869414
Regression,MetacriticMovies,0.919,KNN,K=3,26.471265581916253
Regression,MetacriticMovies,0.919,KNN,K=3,26.33950383841151
Regression,MetacriticMovies,0.919,KNN,K=3,26.130401091259927
Regression,MetacriticMovies,0.919,KNN,K=3,26.383382831959533
Regression,MetacriticMovies,0.919,M5,,31.953658953539765
Regression,MetacriticMovies,0.919,M5,,32.45367832169365
Regression,MetacriticMovies,0.919,M5,,31.848961880863374
Regression,MetacriticMovies,0.919,M5,,32.041528432897074
Regression,MetacriticMovies,0.919,M5,,32.1298772326723
Regression,MetacriticMovies,0.919,M5,,31.281880879539194
Regression,MetacriticMovies,0.919,M5,,31.39210478455087
Regression,MetacriticMovies,0.919,M5,,32.711834228578965
Regression,MetacriticMovies,0.919,M5,,32.27065082030966
Regression,MetacriticMovies,0.919,M5,,31.86593683667876
