task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,Forbes,0.8498422712933754,NB,,0.453582089552239
Classification,Forbes,0.8498422712933754,NB,,0.452863460475401
Classification,Forbes,0.8498422712933754,NB,,0.438789386401327
Classification,Forbes,0.8498422712933754,NB,,0.451365395245992
Classification,Forbes,0.8498422712933754,NB,,0.440237700386954
Classification,Forbes,0.8498422712933754,NB,,0.452868988391376
Classification,Forbes,0.8498422712933754,NB,,0.437258153676064
Classification,Forbes,0.8498422712933754,NB,,0.442515201768933
Classification,Forbes,0.8498422712933754,NB,,0.455096738529574
Classification,Forbes,0.8498422712933754,NB,,0.451409618573798
Classification,Forbes,0.8498422712933754,KNN,K=3,0.466213377556661
Classification,Forbes,0.8498422712933754,KNN,K=3,0.46318407960199
Classification,Forbes,0.8498422712933754,KNN,K=3,0.47653399668325
Classification,Forbes,0.8498422712933754,KNN,K=3,0.475190713101161
Classification,Forbes,0.8498422712933754,KNN,K=3,0.473576561636263
Classification,Forbes,0.8498422712933754,KNN,K=3,0.475124378109453
Classification,Forbes,0.8498422712933754,KNN,K=3,0.486191265892758
Classification,Forbes,0.8498422712933754,KNN,K=3,0.468435599778883
Classification,Forbes,0.8498422712933754,KNN,K=3,0.468407960199005
Classification,Forbes,0.8498422712933754,KNN,K=3,0.469955776672195
Classification,Forbes,0.8498422712933754,C45,,0.472863460475401
Classification,Forbes,0.8498422712933754,C45,,0.466158098396904
Classification,Forbes,0.8498422712933754,C45,,0.478916528468767
Classification,Forbes,0.8498422712933754,C45,,0.449944720840243
Classification,Forbes,0.8498422712933754,C45,,0.461757877280265
Classification,Forbes,0.8498422712933754,C45,,0.481144278606965
Classification,Forbes,0.8498422712933754,C45,,0.477324488667772
Classification,Forbes,0.8498422712933754,C45,,0.460270867882808
Classification,Forbes,0.8498422712933754,C45,,0.484831398562742
Classification,Forbes,0.8498422712933754,C45,,0.504847982310669
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.488501934770591
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.488501934770591
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.487766721945826
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.524090657822001
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.52338861249309
Classification,Forbes,0.8498422712933754,SVM,C=100,0.495898286346047
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.494422332780542
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.481807628524046
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.52260917634052
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.525561083471531
Classification,Forbes,0.8498422712933754,SVM,C=100,0.490663349917081
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.477374239911553
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.485522388059701
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.524825870646766
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.526357103372029
Classification,Forbes,0.8498422712933754,SVM,C=100,0.498192371475954
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.485538971807628
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.488501934770591
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.488501934770591
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.492205638474295
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.520469872857933
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.521171918186844
Classification,Forbes,0.8498422712933754,SVM,C=100,0.494438916528469
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.492918739635158
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.478794914317302
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.521857379767828
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.531453841901603
Classification,Forbes,0.8498422712933754,SVM,C=100,0.50404090657822
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.496688778330569
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.486263128800442
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.525594250967385
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.533747927031509
Classification,Forbes,0.8498422712933754,SVM,C=100,0.502581536760641
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.489928137092316
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.488501934770591
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.488501934770591
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.489988944168049
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.523366500829187
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.527827529021559
Classification,Forbes,0.8498422712933754,SVM,C=100,0.492913211719182
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.495914870093975
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.470713101160862
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.494433388612493
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.517435046987286
Classification,Forbes,0.8498422712933754,SVM,C=100,0.501896075179657
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.486290768380321
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.488501934770591
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.488501934770591
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.488496406854616
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.515129906025428
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.527053620784964
Classification,Forbes,0.8498422712933754,SVM,C=100,0.506257600884467
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.486174682144831
Classification,Forbes,0.8498422712933754,SVM,C=0.001,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.01,0.48849087893864
Classification,Forbes,0.8498422712933754,SVM,C=0.1,0.486257600884466
Classification,Forbes,0.8498422712933754,SVM,C=1.0,0.518922056384743
Classification,Forbes,0.8498422712933754,SVM,C=10.0,0.527075732448867
Classification,Forbes,0.8498422712933754,SVM,C=100,0.504792703150912
Classification,Forbes,0.8498422712933754,SVM,C=1000,0.486246545052515
