task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,Forbes,0.8498422712933754,LR,,36.865622438574285
Regression,Forbes,0.8498422712933754,LR,,37.59361445052046
Regression,Forbes,0.8498422712933754,LR,,37.476202929164984
Regression,Forbes,0.8498422712933754,LR,,37.059750268374685
Regression,Forbes,0.8498422712933754,LR,,37.632677167309005
Regression,Forbes,0.8498422712933754,LR,,37.585768504635325
Regression,Forbes,0.8498422712933754,LR,,37.09072285447522
Regression,Forbes,0.8498422712933754,LR,,36.58770141358982
Regression,Forbes,0.8498422712933754,LR,,37.951333204013544
Regression,Forbes,0.8498422712933754,LR,,37.10955305071916
Regression,Forbes,0.8498422712933754,KNN,K=3,37.87516516915838
Regression,Forbes,0.8498422712933754,KNN,K=3,37.986292611377344
Regression,Forbes,0.8498422712933754,KNN,K=3,38.150401942834975
Regression,Forbes,0.8498422712933754,KNN,K=3,37.709683485539486
Regression,Forbes,0.8498422712933754,KNN,K=3,38.39880745894588
Regression,Forbes,0.8498422712933754,KNN,K=3,37.59998176409466
Regression,Forbes,0.8498422712933754,KNN,K=3,38.179884461606505
Regression,Forbes,0.8498422712933754,KNN,K=3,37.698800641508235
Regression,Forbes,0.8498422712933754,KNN,K=3,38.347508172848
Regression,Forbes,0.8498422712933754,KNN,K=3,37.83066013049244
Regression,Forbes,0.8498422712933754,M5,,53.57946650132486
Regression,Forbes,0.8498422712933754,M5,,51.001170659108446
Regression,Forbes,0.8498422712933754,M5,,56.60572161325676
Regression,Forbes,0.8498422712933754,M5,,56.67855682188616
Regression,Forbes,0.8498422712933754,M5,,52.77401283248622
Regression,Forbes,0.8498422712933754,M5,,52.795828288892494
Regression,Forbes,0.8498422712933754,M5,,54.98280046260611
Regression,Forbes,0.8498422712933754,M5,,56.243282930654175
Regression,Forbes,0.8498422712933754,M5,,55.2065064949865
Regression,Forbes,0.8498422712933754,M5,,55.06607484275613
