task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.427144456886898
Classification,AAUP,0.9875,NB,,0.428219484882419
Classification,AAUP,0.9875,NB,,0.429417693169093
Classification,AAUP,0.9875,NB,,0.428286674132139
Classification,AAUP,0.9875,NB,,0.430459126539754
Classification,AAUP,0.9875,NB,,0.428286674132139
Classification,AAUP,0.9875,NB,,0.432374020156775
Classification,AAUP,0.9875,NB,,0.427234042553191
Classification,AAUP,0.9875,NB,,0.429350503919373
Classification,AAUP,0.9875,NB,,0.426181410974244
Classification,AAUP,0.9875,KNN,K=3,0.572743561030235
Classification,AAUP,0.9875,KNN,K=3,0.587513997760358
Classification,AAUP,0.9875,KNN,K=3,0.583370660694289
Classification,AAUP,0.9875,KNN,K=3,0.581243001119821
Classification,AAUP,0.9875,KNN,K=3,0.58010078387458
Classification,AAUP,0.9875,KNN,K=3,0.587446808510638
Classification,AAUP,0.9875,KNN,K=3,0.571679731243001
Classification,AAUP,0.9875,KNN,K=3,0.58535274356103
Classification,AAUP,0.9875,KNN,K=3,0.58444568868981
Classification,AAUP,0.9875,KNN,K=3,0.593896976483763
Classification,AAUP,0.9875,C45,,0.515789473684211
Classification,AAUP,0.9875,C45,,0.513650615901456
Classification,AAUP,0.9875,C45,,0.513706606942889
Classification,AAUP,0.9875,C45,,0.510593505039194
Classification,AAUP,0.9875,C45,,0.526382978723404
Classification,AAUP,0.9875,C45,,0.511601343784994
Classification,AAUP,0.9875,C45,,0.507435610302352
Classification,AAUP,0.9875,C45,,0.488432250839866
Classification,AAUP,0.9875,C45,,0.503157894736842
Classification,AAUP,0.9875,C45,,0.514770436730123
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.56434490481523
Classification,AAUP,0.9875,SVM,C=1.0,0.594893617021277
Classification,AAUP,0.9875,SVM,C=10.0,0.600123180291153
Classification,AAUP,0.9875,SVM,C=100,0.579070548712206
Classification,AAUP,0.9875,SVM,C=1000,0.504132138857783
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.568533034714446
Classification,AAUP,0.9875,SVM,C=1.0,0.596987681970885
Classification,AAUP,0.9875,SVM,C=10.0,0.610750279955207
Classification,AAUP,0.9875,SVM,C=100,0.598129899216125
Classification,AAUP,0.9875,SVM,C=1000,0.512631578947368
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.560111982082867
Classification,AAUP,0.9875,SVM,C=1.0,0.60023516237402
Classification,AAUP,0.9875,SVM,C=10.0,0.618107502799552
Classification,AAUP,0.9875,SVM,C=100,0.576965285554311
Classification,AAUP,0.9875,SVM,C=1000,0.504109742441209
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.559081746920493
Classification,AAUP,0.9875,SVM,C=1.0,0.601276595744681
Classification,AAUP,0.9875,SVM,C=10.0,0.607670772676372
Classification,AAUP,0.9875,SVM,C=100,0.595005599104143
Classification,AAUP,0.9875,SVM,C=1000,0.507446808510638
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.567525195968645
Classification,AAUP,0.9875,SVM,C=1.0,0.599115341545353
Classification,AAUP,0.9875,SVM,C=10.0,0.606438969764838
Classification,AAUP,0.9875,SVM,C=100,0.593852183650616
Classification,AAUP,0.9875,SVM,C=1000,0.522127659574468
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.563303471444569
Classification,AAUP,0.9875,SVM,C=1.0,0.599137737961926
Classification,AAUP,0.9875,SVM,C=10.0,0.607558790593505
Classification,AAUP,0.9875,SVM,C=100,0.595957446808511
Classification,AAUP,0.9875,SVM,C=1000,0.511534154535274
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.560156774916013
Classification,AAUP,0.9875,SVM,C=1.0,0.603404255319149
Classification,AAUP,0.9875,SVM,C=10.0,0.609652855543113
Classification,AAUP,0.9875,SVM,C=100,0.583393057110862
Classification,AAUP,0.9875,SVM,C=1000,0.516931690929451
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.562250839865621
Classification,AAUP,0.9875,SVM,C=1.0,0.60441209406495
Classification,AAUP,0.9875,SVM,C=10.0,0.617077267637178
Classification,AAUP,0.9875,SVM,C=100,0.584400895856663
Classification,AAUP,0.9875,SVM,C=1000,0.508376259798432
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.563325867861142
Classification,AAUP,0.9875,SVM,C=1.0,0.601276595744681
Classification,AAUP,0.9875,SVM,C=10.0,0.601287793952968
