task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.4175,NB,,0.564405246494799
Classification,MetacriticAlbums,0.4175,NB,,0.565852555404794
Classification,MetacriticAlbums,0.4175,NB,,0.558457711442786
Classification,MetacriticAlbums,0.4175,NB,,0.561352329262777
Classification,MetacriticAlbums,0.4175,NB,,0.567322478516508
Classification,MetacriticAlbums,0.4175,NB,,0.565739484396201
Classification,MetacriticAlbums,0.4175,NB,,0.559882406151063
Classification,MetacriticAlbums,0.4175,NB,,0.562957937584803
Classification,MetacriticAlbums,0.4175,NB,,0.53733604703754
Classification,MetacriticAlbums,0.4175,NB,,0.568792401628223
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.576413387607418
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.543509724106739
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.574807779285391
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.574875621890547
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.576390773405699
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.576300316598824
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.574875621890547
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.573383084577114
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.574717322478516
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.565829941203076
Classification,MetacriticAlbums,0.4175,C45,,0.51797829036635
Classification,MetacriticAlbums,0.4175,C45,,0.552306648575305
Classification,MetacriticAlbums,0.4175,C45,,0.537449118046133
Classification,MetacriticAlbums,0.4175,C45,,0.549344188150158
Classification,MetacriticAlbums,0.4175,C45,,0.546313885119855
Classification,MetacriticAlbums,0.4175,C45,,0.528380823156943
Classification,MetacriticAlbums,0.4175,C45,,0.504387155133424
Classification,MetacriticAlbums,0.4175,C45,,0.549434644957033
Classification,MetacriticAlbums,0.4175,C45,,0.532903663500678
Classification,MetacriticAlbums,0.4175,C45,,0.558412483039349
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.616757123473541
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.585232926277702
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.544753505201266
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.532858435097241
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.618249660786974
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.592786069651741
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.555427408412483
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.567345092718227
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.618227046585256
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.607734056987788
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.541904115784713
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.53733604703754
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.616734509271823
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.609226594301221
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.53733604703754
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.548009950248756
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.616757123473542
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.615309814563546
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.551108095884215
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.549389416553596
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
