task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,23.345766207729454
Regression,MetacriticMovies,0.919,LR,,23.30615187904221
Regression,MetacriticMovies,0.919,LR,,23.186856715148284
Regression,MetacriticMovies,0.919,LR,,23.29123173773593
Regression,MetacriticMovies,0.919,LR,,23.298436934765846
Regression,MetacriticMovies,0.919,LR,,23.204840757831985
Regression,MetacriticMovies,0.919,LR,,23.263566876767634
Regression,MetacriticMovies,0.919,LR,,23.14923429380583
Regression,MetacriticMovies,0.919,LR,,23.17474391663881
Regression,MetacriticMovies,0.919,LR,,23.155684820662053
Regression,MetacriticMovies,0.919,KNN,K=3,25.213502048907284
Regression,MetacriticMovies,0.919,KNN,K=3,25.565892442474155
Regression,MetacriticMovies,0.919,KNN,K=3,25.549513438190637
Regression,MetacriticMovies,0.919,KNN,K=3,25.369587807075057
Regression,MetacriticMovies,0.919,KNN,K=3,25.404050556683686
Regression,MetacriticMovies,0.919,KNN,K=3,25.353043840770525
Regression,MetacriticMovies,0.919,KNN,K=3,25.481657027234633
Regression,MetacriticMovies,0.919,KNN,K=3,25.645759767543
Regression,MetacriticMovies,0.919,KNN,K=3,25.370076609355966
Regression,MetacriticMovies,0.919,KNN,K=3,25.641429944883274
Regression,MetacriticMovies,0.919,M5,,31.615494718302465
Regression,MetacriticMovies,0.919,M5,,31.918309538295432
Regression,MetacriticMovies,0.919,M5,,31.698611597260587
Regression,MetacriticMovies,0.919,M5,,31.66405153111067
Regression,MetacriticMovies,0.919,M5,,31.981026562857956
Regression,MetacriticMovies,0.919,M5,,31.774128227932103
Regression,MetacriticMovies,0.919,M5,,31.0384653085514
Regression,MetacriticMovies,0.919,M5,,31.92015842337302
Regression,MetacriticMovies,0.919,M5,,31.730024781207256
Regression,MetacriticMovies,0.919,M5,,31.529986839072603
