test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_minedgecut100\vectors_aligned0_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 with_weights - pearson_score 0.35120073951242103
models\model_minedgecut100\vectors_aligned0_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 with_weights - spearman_score 0.28369957772614196
models\model_minedgecut100\vectors_aligned0_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 with_weights - harmonic_mean 0.313861873404435
models\model_minedgecut100\vectors_aligned0_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 without_weights - pearson_score 0.193524756023346
models\model_minedgecut100\vectors_aligned0_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 without_weights - spearman_score 0.15678169378375306
models\model_minedgecut100\vectors_aligned0_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 without_weights - harmonic_mean 0.173226265489177
models\model_minedgecut100\vectors_aligned73_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 with_weights - pearson_score 0.386165924126325
models\model_minedgecut100\vectors_aligned73_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 with_weights - spearman_score 0.3870543670561311
models\model_minedgecut100\vectors_aligned73_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 with_weights - harmonic_mean 0.38660963517340297
models\model_minedgecut100\vectors_aligned73_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 without_weights - pearson_score 0.19437710336779
models\model_minedgecut100\vectors_aligned73_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 without_weights - spearman_score 0.16852848982034802
models\model_minedgecut100\vectors_aligned73_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 without_weights - harmonic_mean 0.180532239244077
models\model_minedgecut100\vectors_nd_filtered_100_cosine_2_1 DocumentSimilarity LP50 0.2100313479623825 with_weights - pearson_score 0.377036439334136
