task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification Cities NB - accuracy 8 12 12
Classification Cities KNN K=3 accuracy 11 12 12
Classification Cities C45 - accuracy 8 12 12
Classification Cities SVM C=0.001 accuracy 0 12 4
Classification Cities SVM C=0.01 accuracy 0 12 4
Classification Cities SVM C=0.1 accuracy 1 12 4
Classification Cities SVM C=1.0 accuracy 8 12 12
Classification Cities SVM C=10.0 accuracy 11 12 12
Classification Cities SVM C=100 accuracy 8 12 12
Classification Cities SVM C=1000 accuracy 7 12 12
Classification MetacriticMovies NB - accuracy 3 12 12
Classification MetacriticMovies KNN K=3 accuracy 5 12 12
Classification MetacriticMovies C45 - accuracy 11 12 12
Classification MetacriticMovies SVM C=0.001 accuracy 3 12 5
Classification MetacriticMovies SVM C=0.01 accuracy 3 12 5
Classification MetacriticMovies SVM C=0.1 accuracy 3 12 12
Classification MetacriticMovies SVM C=1.0 accuracy 3 12 12
Classification MetacriticMovies SVM C=10.0 accuracy 6 12 12
Classification MetacriticMovies SVM C=100 accuracy 5 12 12
Classification MetacriticMovies SVM C=1000 accuracy 2 12 12
Classification MetacriticAlbums NB - accuracy 8 12 12
Classification MetacriticAlbums KNN K=3 accuracy 5 12 12
Classification MetacriticAlbums C45 - accuracy 0 12 12
Classification MetacriticAlbums SVM C=0.001 accuracy 2 12 6
Classification MetacriticAlbums SVM C=0.01 accuracy 2 12 6
Classification MetacriticAlbums SVM C=0.1 accuracy 2 12 6
Classification MetacriticAlbums SVM C=1.0 accuracy 2 12 12
Classification MetacriticAlbums SVM C=10.0 accuracy 8 12 12
Classification MetacriticAlbums SVM C=100 accuracy 8 12 12
Classification MetacriticAlbums SVM C=1000 accuracy 9 12 12
Classification AAUP NB - accuracy 2 12 12
Classification AAUP KNN K=3 accuracy 11 12 12
Classification AAUP C45 - accuracy 7 12 12
Classification AAUP SVM C=0.001 accuracy 4 12 5
Classification AAUP SVM C=0.01 accuracy 4 12 5
Classification AAUP SVM C=0.1 accuracy 6 12 12
Classification AAUP SVM C=1.0 accuracy 7 12 12
Classification AAUP SVM C=10.0 accuracy 6 12 12
Classification AAUP SVM C=100 accuracy 8 12 12
Classification AAUP SVM C=1000 accuracy 10 12 12
Classification Forbes NB - accuracy 5 12 12
Classification Forbes KNN K=3 accuracy 5 12 12
Classification Forbes C45 - accuracy 5 12 12
Classification Forbes SVM C=0.001 accuracy 9 12 9
Classification Forbes SVM C=0.01 accuracy 9 12 9
Classification Forbes SVM C=0.1 accuracy 9 12 12
Classification Forbes SVM C=1.0 accuracy 8 12 12
Classification Forbes SVM C=10.0 accuracy 9 12 12
Classification Forbes SVM C=100 accuracy 3 12 12
Classification Forbes SVM C=1000 accuracy 0 12 12
Regression Cities LR - root_mean_squared_error 7 12 12
Regression Cities KNN K=3 root_mean_squared_error 8 12 12
Regression Cities M5 - root_mean_squared_error 6 12 12
Regression MetacriticMovies LR - root_mean_squared_error 5 12 12
Regression MetacriticMovies KNN K=3 root_mean_squared_error 7 12 12
Regression MetacriticMovies M5 - root_mean_squared_error 8 12 12
Regression MetacriticAlbums LR - root_mean_squared_error 8 12 12
Regression MetacriticAlbums KNN K=3 root_mean_squared_error 1 12 12
Regression MetacriticAlbums M5 - root_mean_squared_error 0 12 12
Regression AAUP LR - root_mean_squared_error 6 12 12
Regression AAUP KNN K=3 root_mean_squared_error 1 12 12
Regression AAUP M5 - root_mean_squared_error 3 12 12
Regression Forbes LR - root_mean_squared_error 5 12 12
Regression Forbes KNN K=3 root_mean_squared_error 9 12 12
Regression Forbes M5 - root_mean_squared_error 9 12 12
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 4 12 12
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 3 12 12
Clustering citiesAndCountries_cluster DBSCAN metric=cosine homogeneity_score 3 12 12
Clustering citiesAndCountries_cluster DBSCAN metric=cosine completeness_score 3 12 12
Clustering citiesAndCountries_cluster DBSCAN metric=cosine v_measure_score 3 12 12
Clustering citiesAndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 3 12 12
Clustering citiesAndCountries_cluster DBSCAN metric=cosine clustering_accuracy 6 12 11
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 11 12 12
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 11 12 12
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 10 12 12
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 11 12 12
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 11 12 12
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 11 12 12
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 9 12 12
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 6 12 12
