task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,76.031384759406
Regression,AAUP,0.9875,LR,,74.98130331192525
Regression,AAUP,0.9875,LR,,79.02402287181113
Regression,AAUP,0.9875,LR,,75.9273276186165
Regression,AAUP,0.9875,LR,,74.89862164740434
Regression,AAUP,0.9875,LR,,75.9081213375677
Regression,AAUP,0.9875,LR,,75.70918531536587
Regression,AAUP,0.9875,LR,,76.88413228304935
Regression,AAUP,0.9875,LR,,78.32422518101765
Regression,AAUP,0.9875,LR,,75.93757643219872
Regression,AAUP,0.9875,KNN,K=3,73.60644597241861
Regression,AAUP,0.9875,KNN,K=3,74.81194334751366
Regression,AAUP,0.9875,KNN,K=3,74.43658344246148
Regression,AAUP,0.9875,KNN,K=3,73.9809555672725
Regression,AAUP,0.9875,KNN,K=3,74.72540764476504
Regression,AAUP,0.9875,KNN,K=3,74.37443073498247
Regression,AAUP,0.9875,KNN,K=3,75.2168807554356
Regression,AAUP,0.9875,KNN,K=3,74.06961510893629
Regression,AAUP,0.9875,KNN,K=3,73.77828767859779
Regression,AAUP,0.9875,KNN,K=3,75.40335094576703
Regression,AAUP,0.9875,M5,,95.82380168800984
Regression,AAUP,0.9875,M5,,97.95884949434827
Regression,AAUP,0.9875,M5,,97.88062022654425
Regression,AAUP,0.9875,M5,,97.03399988381435
Regression,AAUP,0.9875,M5,,97.26931578945344
Regression,AAUP,0.9875,M5,,97.55193402068069
Regression,AAUP,0.9875,M5,,99.85859522691007
Regression,AAUP,0.9875,M5,,96.46625265567063
Regression,AAUP,0.9875,M5,,97.34800694640003
Regression,AAUP,0.9875,M5,,100.32329389077533
