task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.4175,LR,,16.583658346445837
Regression,MetacriticAlbums,0.4175,LR,,16.229690835855727
Regression,MetacriticAlbums,0.4175,LR,,17.183030597747706
Regression,MetacriticAlbums,0.4175,LR,,16.993136544686863
Regression,MetacriticAlbums,0.4175,LR,,16.16710328614969
Regression,MetacriticAlbums,0.4175,LR,,16.91905411738414
Regression,MetacriticAlbums,0.4175,LR,,16.5178780685823
Regression,MetacriticAlbums,0.4175,LR,,17.010887826046236
Regression,MetacriticAlbums,0.4175,LR,,17.17420397749813
Regression,MetacriticAlbums,0.4175,LR,,16.035946553681953
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.760508981367064
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.918865556658629
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.668782393686836
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.668064402083823
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.466973804349262
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.929669697859268
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.52368620689639
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.652643195216772
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.93484513486045
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.911009770506581
Regression,MetacriticAlbums,0.4175,M5,,20.360157019399715
Regression,MetacriticAlbums,0.4175,M5,,19.328665548139007
Regression,MetacriticAlbums,0.4175,M5,,19.576820344003988
Regression,MetacriticAlbums,0.4175,M5,,19.40786191158383
Regression,MetacriticAlbums,0.4175,M5,,19.182601863901745
Regression,MetacriticAlbums,0.4175,M5,,19.441504574052903
Regression,MetacriticAlbums,0.4175,M5,,19.219894082511363
Regression,MetacriticAlbums,0.4175,M5,,19.836673636451184
Regression,MetacriticAlbums,0.4175,M5,,19.937864225830403
Regression,MetacriticAlbums,0.4175,M5,,20.315964112978925
