task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.444020156774916
Classification,AAUP,0.9875,NB,,0.437737961926092
Classification,AAUP,0.9875,NB,,0.442082866741321
Classification,AAUP,0.9875,NB,,0.44939529675252
Classification,AAUP,0.9875,NB,,0.440996640537514
Classification,AAUP,0.9875,NB,,0.439876819708847
Classification,AAUP,0.9875,NB,,0.439753639417693
Classification,AAUP,0.9875,NB,,0.440929451287794
Classification,AAUP,0.9875,NB,,0.437782754759239
Classification,AAUP,0.9875,NB,,0.436730123180291
Classification,AAUP,0.9875,KNN,K=3,0.578040313549832
Classification,AAUP,0.9875,KNN,K=3,0.589619260918253
Classification,AAUP,0.9875,KNN,K=3,0.589720044792833
Classification,AAUP,0.9875,KNN,K=3,0.583381858902576
Classification,AAUP,0.9875,KNN,K=3,0.579036954087346
Classification,AAUP,0.9875,KNN,K=3,0.586394176931691
Classification,AAUP,0.9875,KNN,K=3,0.572721164613662
Classification,AAUP,0.9875,KNN,K=3,0.585341545352744
Classification,AAUP,0.9875,KNN,K=3,0.583404255319149
Classification,AAUP,0.9875,KNN,K=3,0.595991041433371
Classification,AAUP,0.9875,C45,,0.530526315789474
Classification,AAUP,0.9875,C45,,0.530649496080627
Classification,AAUP,0.9875,C45,,0.504165733482643
Classification,AAUP,0.9875,C45,,0.511578947368421
Classification,AAUP,0.9875,C45,,0.521030235162374
Classification,AAUP,0.9875,C45,,0.512698768197088
Classification,AAUP,0.9875,C45,,0.518969764837626
Classification,AAUP,0.9875,C45,,0.506226203807391
Classification,AAUP,0.9875,C45,,0.523225083986562
Classification,AAUP,0.9875,C45,,0.517939529675252
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.560123180291153
Classification,AAUP,0.9875,SVM,C=1.0,0.602284434490482
Classification,AAUP,0.9875,SVM,C=10.0,0.615968645016797
Classification,AAUP,0.9875,SVM,C=100,0.576920492721165
Classification,AAUP,0.9875,SVM,C=1000,0.497838745800672
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.563258678611422
Classification,AAUP,0.9875,SVM,C=1.0,0.593852183650616
Classification,AAUP,0.9875,SVM,C=10.0,0.623337066069429
Classification,AAUP,0.9875,SVM,C=100,0.581142217245241
Classification,AAUP,0.9875,SVM,C=1000,0.509417693169093
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.559059350503919
Classification,AAUP,0.9875,SVM,C=1.0,0.60548712206047
Classification,AAUP,0.9875,SVM,C=10.0,0.631802911534154
Classification,AAUP,0.9875,SVM,C=100,0.559977603583426
Classification,AAUP,0.9875,SVM,C=1000,0.50518477043673
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.552754759238522
Classification,AAUP,0.9875,SVM,C=1.0,0.597054871220605
Classification,AAUP,0.9875,SVM,C=10.0,0.616114221724524
Classification,AAUP,0.9875,SVM,C=100,0.586584546472564
Classification,AAUP,0.9875,SVM,C=1000,0.519025755879059
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.565408734602464
Classification,AAUP,0.9875,SVM,C=1.0,0.605442329227324
Classification,AAUP,0.9875,SVM,C=10.0,0.611735722284434
Classification,AAUP,0.9875,SVM,C=100,0.578006718924972
Classification,AAUP,0.9875,SVM,C=1000,0.498924972004479
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.563314669652856
Classification,AAUP,0.9875,SVM,C=1.0,0.601298992161254
Classification,AAUP,0.9875,SVM,C=10.0,0.622329227323628
Classification,AAUP,0.9875,SVM,C=100,0.58963045912654
Classification,AAUP,0.9875,SVM,C=1000,0.518924972004479
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.558029115341545
Classification,AAUP,0.9875,SVM,C=1.0,0.595979843225084
Classification,AAUP,0.9875,SVM,C=10.0,0.619115341545353
Classification,AAUP,0.9875,SVM,C=100,0.57491601343785
Classification,AAUP,0.9875,SVM,C=1000,0.516875699888018
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.562250839865621
Classification,AAUP,0.9875,SVM,C=1.0,0.605498320268757
Classification,AAUP,0.9875,SVM,C=10.0,0.618062709966405
Classification,AAUP,0.9875,SVM,C=100,0.577973124300112
Classification,AAUP,0.9875,SVM,C=1000,0.521030235162374
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.559115341545353
Classification,AAUP,0.9875,SVM,C=1.0,0.605498320268757
Classification,AAUP,0.9875,SVM,C=10.0,0.607603583426652
Classification,AAUP,0.9875,SVM,C=100,0.571769316909294
