task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.532109764789736
Classification,MetacriticMovies,0.919,NB,,0.533226419577097
Classification,MetacriticMovies,0.919,NB,,0.538631503920171
Classification,MetacriticMovies,0.919,NB,,0.526677952007603
Classification,MetacriticMovies,0.919,NB,,0.528308386790211
Classification,MetacriticMovies,0.919,NB,,0.529377524352578
Classification,MetacriticMovies,0.919,NB,,0.529365645046329
Classification,MetacriticMovies,0.919,NB,,0.532650273224044
Classification,MetacriticMovies,0.919,NB,,0.526651223568544
Classification,MetacriticMovies,0.919,NB,,0.533167023045854
Classification,MetacriticMovies,0.919,KNN,K=3,0.564742219054407
Classification,MetacriticMovies,0.919,KNN,K=3,0.559856854359705
Classification,MetacriticMovies,0.919,KNN,K=3,0.555494179139938
Classification,MetacriticMovies,0.919,KNN,K=3,0.566910192444761
Classification,MetacriticMovies,0.919,KNN,K=3,0.562535637918746
Classification,MetacriticMovies,0.919,KNN,K=3,0.558220479923972
Classification,MetacriticMovies,0.919,KNN,K=3,0.561454621050131
Classification,MetacriticMovies,0.919,KNN,K=3,0.549501069137562
Classification,MetacriticMovies,0.919,KNN,K=3,0.562529698265621
Classification,MetacriticMovies,0.919,KNN,K=3,0.553875623663578
Classification,MetacriticMovies,0.919,C45,,0.547864694701829
Classification,MetacriticMovies,0.919,C45,,0.533193751484913
Classification,MetacriticMovies,0.919,C45,,0.547383582798765
Classification,MetacriticMovies,0.919,C45,,0.534803397481587
Classification,MetacriticMovies,0.919,C45,,0.540799477310525
Classification,MetacriticMovies,0.919,C45,,0.5309990496555
Classification,MetacriticMovies,0.919,C45,,0.525029698265621
Classification,MetacriticMovies,0.919,C45,,0.543032786885246
Classification,MetacriticMovies,0.919,C45,,0.542988239486814
Classification,MetacriticMovies,0.919,C45,,0.526686861487289
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.553323235923022
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.584871703492516
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.581043597053932
Classification,MetacriticMovies,0.919,SVM,C=100,0.581067355666429
Classification,MetacriticMovies,0.919,SVM,C=1000,0.568558446186743
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.54408410548824
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.582172131147541
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.590867783321454
Classification,MetacriticMovies,0.919,SVM,C=100,0.586531836540746
Classification,MetacriticMovies,0.919,SVM,C=1000,0.564754098360656
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.557112734616298
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.589780826799715
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.59308030411024
Classification,MetacriticMovies,0.919,SVM,C=100,0.587078284628178
Classification,MetacriticMovies,0.919,SVM,C=1000,0.571290686623901
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.550638512710858
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.588673081492041
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.596272867664528
Classification,MetacriticMovies,0.919,SVM,C=100,0.584842005226895
Classification,MetacriticMovies,0.919,SVM,C=1000,0.55982121644096
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.554439890710382
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.577248158707531
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.597383582798765
Classification,MetacriticMovies,0.919,SVM,C=100,0.588667141838917
