task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.43454647256439
Classification,AAUP,0.9875,NB,,0.435643896976484
Classification,AAUP,0.9875,NB,,0.433639417693169
Classification,AAUP,0.9875,NB,,0.43986562150056
Classification,AAUP,0.9875,NB,,0.432553191489362
Classification,AAUP,0.9875,NB,,0.43461366181411
Classification,AAUP,0.9875,NB,,0.43555431131019
Classification,AAUP,0.9875,NB,,0.431422172452408
Classification,AAUP,0.9875,NB,,0.431444568868981
Classification,AAUP,0.9875,NB,,0.434636058230683
Classification,AAUP,0.9875,KNN,K=3,0.582239641657335
Classification,AAUP,0.9875,KNN,K=3,0.586494960806271
Classification,AAUP,0.9875,KNN,K=3,0.589753639417693
Classification,AAUP,0.9875,KNN,K=3,0.582295632698768
Classification,AAUP,0.9875,KNN,K=3,0.587469204927212
Classification,AAUP,0.9875,KNN,K=3,0.585442329227324
Classification,AAUP,0.9875,KNN,K=3,0.587435610302352
Classification,AAUP,0.9875,KNN,K=3,0.590660694288914
Classification,AAUP,0.9875,KNN,K=3,0.578085106382979
Classification,AAUP,0.9875,KNN,K=3,0.583471444568869
Classification,AAUP,0.9875,C45,,0.499944008958567
Classification,AAUP,0.9875,C45,,0.542194848824188
Classification,AAUP,0.9875,C45,,0.519025755879059
Classification,AAUP,0.9875,C45,,0.514770436730123
Classification,AAUP,0.9875,C45,,0.507368421052632
Classification,AAUP,0.9875,C45,,0.507413213885778
Classification,AAUP,0.9875,C45,,0.509350503919373
Classification,AAUP,0.9875,C45,,0.524232922732363
Classification,AAUP,0.9875,C45,,0.516965285554311
Classification,AAUP,0.9875,C45,,0.533695408734602
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.555912653975364
Classification,AAUP,0.9875,SVM,C=1.0,0.603359462486002
Classification,AAUP,0.9875,SVM,C=10.0,0.61491601343785
Classification,AAUP,0.9875,SVM,C=100,0.579036954087346
Classification,AAUP,0.9875,SVM,C=1000,0.513639417693169
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.562206047032475
Classification,AAUP,0.9875,SVM,C=1.0,0.592799552071669
Classification,AAUP,0.9875,SVM,C=10.0,0.61073908174692
Classification,AAUP,0.9875,SVM,C=100,0.580179171332587
Classification,AAUP,0.9875,SVM,C=1000,0.530660694288914
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.558006718924972
Classification,AAUP,0.9875,SVM,C=1.0,0.601287793952967
Classification,AAUP,0.9875,SVM,C=10.0,0.617077267637178
