task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,Forbes,0.8511041009463722,NB,,0.439579878385848
Classification,Forbes,0.8511041009463722,NB,,0.433648424543947
Classification,Forbes,0.8511041009463722,NB,,0.42849087893864
Classification,Forbes,0.8511041009463722,NB,,0.444759535655058
Classification,Forbes,0.8511041009463722,NB,,0.448468767274737
Classification,Forbes,0.8511041009463722,NB,,0.442553897180763
Classification,Forbes,0.8511041009463722,NB,,0.447755666113875
Classification,Forbes,0.8511041009463722,NB,,0.432150359314538
Classification,Forbes,0.8511041009463722,NB,,0.439574350469873
Classification,Forbes,0.8511041009463722,NB,,0.431437258153676
Classification,Forbes,0.8511041009463722,KNN,K=3,0.472205638474295
Classification,Forbes,0.8511041009463722,KNN,K=3,0.49147042564953
Classification,Forbes,0.8511041009463722,KNN,K=3,0.499607517965727
Classification,Forbes,0.8511041009463722,KNN,K=3,0.485527915975677
Classification,Forbes,0.8511041009463722,KNN,K=3,0.489286898839138
Classification,Forbes,0.8511041009463722,KNN,K=3,0.484776119402985
Classification,Forbes,0.8511041009463722,KNN,K=3,0.485599778883361
Classification,Forbes,0.8511041009463722,KNN,K=3,0.473648424543947
Classification,Forbes,0.8511041009463722,KNN,K=3,0.486296296296296
Classification,Forbes,0.8511041009463722,KNN,K=3,0.481862907683803
Classification,Forbes,0.8511041009463722,C45,,0.466252072968491
Classification,Forbes,0.8511041009463722,C45,,0.48110005527916
Classification,Forbes,0.8511041009463722,C45,,0.470011055831951
Classification,Forbes,0.8511041009463722,C45,,0.472150359314538
Classification,Forbes,0.8511041009463722,C45,,0.447755666113875
Classification,Forbes,0.8511041009463722,C45,,0.475876174682145
Classification,Forbes,0.8511041009463722,C45,,0.464814814814815
Classification,Forbes,0.8511041009463722,C45,,0.464776119402985
Classification,Forbes,0.8511041009463722,C45,,0.486285240464345
Classification,Forbes,0.8511041009463722,C45,,0.478855721393035
Classification,Forbes,0.8511041009463722,SVM,C=0.001,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.01,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.1,0.484792703150912
Classification,Forbes,0.8511041009463722,SVM,C=1.0,0.512935323383085
Classification,Forbes,0.8511041009463722,SVM,C=10.0,0.541111111111111
Classification,Forbes,0.8511041009463722,SVM,C=100,0.522587064676617
Classification,Forbes,0.8511041009463722,SVM,C=1000,0.51595909342178
Classification,Forbes,0.8511041009463722,SVM,C=0.001,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.01,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.1,0.494466556108347
Classification,Forbes,0.8511041009463722,SVM,C=1.0,0.52709784411277
Classification,Forbes,0.8511041009463722,SVM,C=10.0,0.551542288557214
Classification,Forbes,0.8511041009463722,SVM,C=100,0.533731343283582
Classification,Forbes,0.8511041009463722,SVM,C=1000,0.50779988944168
Classification,Forbes,0.8511041009463722,SVM,C=0.001,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.01,0.489253731343284
Classification,Forbes,0.8511041009463722,SVM,C=0.1,0.497435046987286
Classification,Forbes,0.8511041009463722,SVM,C=1.0,0.515942509673853
Classification,Forbes,0.8511041009463722,SVM,C=10.0,0.54779988944168
Classification,Forbes,0.8511041009463722,SVM,C=100,0.52037037037037
