task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.4175,NB,,0.57037539574853
Classification,MetacriticAlbums,0.4175,NB,,0.574853007688828
Classification,MetacriticAlbums,0.4175,NB,,0.562912709181366
Classification,MetacriticAlbums,0.4175,NB,,0.565829941203076
Classification,MetacriticAlbums,0.4175,NB,,0.570330167345093
Classification,MetacriticAlbums,0.4175,NB,,0.580687471732248
Classification,MetacriticAlbums,0.4175,NB,,0.56883763003166
Classification,MetacriticAlbums,0.4175,NB,,0.571890547263682
Classification,MetacriticAlbums,0.4175,NB,,0.540321121664405
Classification,MetacriticAlbums,0.4175,NB,,0.570284938941655
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.579149706015378
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.574717322478516
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.573405698778833
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.583763003165988
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.574943464495704
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.579149706015378
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.583717774762551
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.570420624151968
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.586725463591135
Classification,MetacriticAlbums,0.4175,KNN,K=3,0.573315241971958
Classification,MetacriticAlbums,0.4175,C45,,0.51490275893261
Classification,MetacriticAlbums,0.4175,C45,,0.531298055178652
Classification,MetacriticAlbums,0.4175,C45,,0.534441429217549
Classification,MetacriticAlbums,0.4175,C45,,0.522365445499774
Classification,MetacriticAlbums,0.4175,C45,,0.52688828584351
Classification,MetacriticAlbums,0.4175,C45,,0.516282225237449
Classification,MetacriticAlbums,0.4175,C45,,0.519402985074627
Classification,MetacriticAlbums,0.4175,C45,,0.525418362731796
Classification,MetacriticAlbums,0.4175,C45,,0.549276345545002
Classification,MetacriticAlbums,0.4175,C45,,0.539122568973315
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.618272274988693
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.59280868385346
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.567367706919946
Classification,MetacriticAlbums,0.4175,SVM,C=1000,0.552374491180461
Classification,MetacriticAlbums,0.4175,SVM,C=0.001,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.01,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=0.1,0.622749886928991
Classification,MetacriticAlbums,0.4175,SVM,C=1.0,0.615264586160109
Classification,MetacriticAlbums,0.4175,SVM,C=10.0,0.604748982360923
Classification,MetacriticAlbums,0.4175,SVM,C=100,0.567254635911352
