task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.533755048705156
Classification,MetacriticMovies,0.919,NB,,0.533211570444286
Classification,MetacriticMovies,0.919,NB,,0.54026193870278
Classification,MetacriticMovies,0.919,NB,,0.529395343311951
Classification,MetacriticMovies,0.919,NB,,0.534298526966025
Classification,MetacriticMovies,0.919,NB,,0.540247089569969
Classification,MetacriticMovies,0.919,NB,,0.532626514611547
Classification,MetacriticMovies,0.919,NB,,0.53643977191732
Classification,MetacriticMovies,0.919,NB,,0.539697671655975
Classification,MetacriticMovies,0.919,NB,,0.526627464956047
Classification,MetacriticMovies,0.919,KNN,K=3,0.563138512710858
Classification,MetacriticMovies,0.919,KNN,K=3,0.563684960798289
Classification,MetacriticMovies,0.919,KNN,K=3,0.553887502969826
Classification,MetacriticMovies,0.919,KNN,K=3,0.560370634354954
Classification,MetacriticMovies,0.919,KNN,K=3,0.558716440959848
Classification,MetacriticMovies,0.919,KNN,K=3,0.554425041577572
Classification,MetacriticMovies,0.919,KNN,K=3,0.556007959135186
Classification,MetacriticMovies,0.919,KNN,K=3,0.551722499406035
Classification,MetacriticMovies,0.919,KNN,K=3,0.566886433832264
Classification,MetacriticMovies,0.919,KNN,K=3,0.559868733665954
Classification,MetacriticMovies,0.919,C45,,0.553346994535519
Classification,MetacriticMovies,0.919,C45,,0.566372653837016
Classification,MetacriticMovies,0.919,C45,,0.522849845569019
Classification,MetacriticMovies,0.919,C45,,0.563117723924923
Classification,MetacriticMovies,0.919,C45,,0.527779757662152
Classification,MetacriticMovies,0.919,C45,,0.545658113566168
Classification,MetacriticMovies,0.919,C45,,0.532623544784984
Classification,MetacriticMovies,0.919,C45,,0.537036707056308
Classification,MetacriticMovies,0.919,C45,,0.546252078878593
Classification,MetacriticMovies,0.919,C45,,0.526672012354479
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.558755048705155
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.592498218104063
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.587589094796864
Classification,MetacriticMovies,0.919,SVM,C=100,0.587060465668805
Classification,MetacriticMovies,0.919,SVM,C=1000,0.572389522451889
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.547897362794013
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.58925813732478
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.60179971489665
Classification,MetacriticMovies,0.919,SVM,C=100,0.588732478023283
Classification,MetacriticMovies,0.919,SVM,C=1000,0.556590045141364
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.557118674269423
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.585973509147066
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.605007127583749
Classification,MetacriticMovies,0.919,SVM,C=100,0.594113803753861
Classification,MetacriticMovies,0.919,SVM,C=1000,0.562553456878118
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.552274887146591
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.592489308624376
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.602809455927774
Classification,MetacriticMovies,0.919,SVM,C=100,0.59248039914469
Classification,MetacriticMovies,0.919,SVM,C=1000,0.567994179139938
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.556595984794488
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.57780351627465
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.601187930624852
Classification,MetacriticMovies,0.919,SVM,C=100,0.604460679496317
Classification,MetacriticMovies,0.919,SVM,C=1000,0.558701591827037
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.552770848182466
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.589783796626277
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.597912211926823
Classification,MetacriticMovies,0.919,SVM,C=100,0.597924091233072
Classification,MetacriticMovies,0.919,SVM,C=1000,0.562015918270373
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.553857804704205
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.588093965312426
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.594624613922547
Classification,MetacriticMovies,0.919,SVM,C=100,0.588652292706106
Classification,MetacriticMovies,0.919,SVM,C=1000,0.561469470182941
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.561448681397007
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.601193870277976
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.601211689237348
Classification,MetacriticMovies,0.919,SVM,C=100,0.602283796626277
Classification,MetacriticMovies,0.919,SVM,C=1000,0.574002138275125
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.549477310525065
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.582650273224044
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.595711570444286
Classification,MetacriticMovies,0.919,SVM,C=100,0.58864338322642
Classification,MetacriticMovies,0.919,SVM,C=1000,0.552773818009028
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.560967569493942
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.592530886196246
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.601790805416964
Classification,MetacriticMovies,0.919,SVM,C=100,0.593041696364932
Classification,MetacriticMovies,0.919,SVM,C=1000,0.560908172962699
