test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 NB - accuracy 0.3682702531336877
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 KNN K=3 accuracy 0.5871555382139199
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 C45 - accuracy 0.4622060186314198
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 SVM C=0.001 accuracy 0.4955572355265084
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 SVM C=0.01 accuracy 0.4955572355265084
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 SVM C=0.1 accuracy 0.4955572355265084
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 SVM C=1.0 accuracy 0.6439277178949421
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 SVM C=10.0 accuracy 0.6372735697215042
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 SVM C=100 accuracy 0.5928493391211044
models\model_horizontal\vectors_100_cosine_2_1 Classification Cities 0.9985214391325776 SVM C=1000 accuracy 0.5543900892552309
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 NB - accuracy 0.5438457376922485
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 KNN K=3 accuracy 0.5626609475229927
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 C45 - accuracy 0.5254065229152175
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 SVM C=0.001 accuracy 0.531484272354896
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 SVM C=0.01 accuracy 0.531484272354896
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 SVM C=0.1 accuracy 0.5409931215704461
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 SVM C=1.0 accuracy 0.5760874101553441
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 SVM C=10.0 accuracy 0.6011036401576628
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 SVM C=100 accuracy 0.576797472756782
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticMovies 0.933415536374846 SVM C=1000 accuracy 0.5647778035396861
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticAlbums 0.6415018167137666 NB - accuracy 0.6061663084149351
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticAlbums 0.6415018167137666 KNN K=3 accuracy 0.5674030730037417
models\model_horizontal\vectors_100_cosine_2_1 Classification MetacriticAlbums 0.6415018167137666 C45 - accuracy 0.5436322745004378
