task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,75.17709456289592
Regression,AAUP,0.9875,LR,,77.39906291484466
Regression,AAUP,0.9875,LR,,76.07056559903403
Regression,AAUP,0.9875,LR,,74.969843107983
Regression,AAUP,0.9875,LR,,75.70366262239382
Regression,AAUP,0.9875,LR,,76.21279618066836
Regression,AAUP,0.9875,LR,,75.91204528187241
Regression,AAUP,0.9875,LR,,76.15023279866156
Regression,AAUP,0.9875,LR,,74.7719618199706
Regression,AAUP,0.9875,LR,,75.52512696189143
Regression,AAUP,0.9875,KNN,K=3,73.88678607208462
Regression,AAUP,0.9875,KNN,K=3,74.46567655522327
Regression,AAUP,0.9875,KNN,K=3,74.3457792422029
Regression,AAUP,0.9875,KNN,K=3,74.76479223701118
Regression,AAUP,0.9875,KNN,K=3,74.32618089248831
Regression,AAUP,0.9875,KNN,K=3,73.89823945877903
Regression,AAUP,0.9875,KNN,K=3,74.68400037394835
Regression,AAUP,0.9875,KNN,K=3,73.97529472449357
Regression,AAUP,0.9875,KNN,K=3,75.12898798105283
Regression,AAUP,0.9875,KNN,K=3,74.63365849027389
Regression,AAUP,0.9875,M5,,100.90884948246283
Regression,AAUP,0.9875,M5,,98.13864351789177
Regression,AAUP,0.9875,M5,,102.9253151208504
Regression,AAUP,0.9875,M5,,102.50491120976403
Regression,AAUP,0.9875,M5,,101.17720084773099
Regression,AAUP,0.9875,M5,,98.49180945884339
Regression,AAUP,0.9875,M5,,99.23082515064957
Regression,AAUP,0.9875,M5,,100.84055060511827
Regression,AAUP,0.9875,M5,,99.80508427893983
Regression,AAUP,0.9875,M5,,100.95808829817827
