task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.4175,LR,,15.950633084406787
Regression,MetacriticAlbums,0.4175,LR,,16.027356959942985
Regression,MetacriticAlbums,0.4175,LR,,15.810761919647542
Regression,MetacriticAlbums,0.4175,LR,,16.153215562952397
Regression,MetacriticAlbums,0.4175,LR,,16.031121519887083
Regression,MetacriticAlbums,0.4175,LR,,15.626841216491465
Regression,MetacriticAlbums,0.4175,LR,,16.230816484004286
Regression,MetacriticAlbums,0.4175,LR,,16.394995239146386
Regression,MetacriticAlbums,0.4175,LR,,16.167117501110322
Regression,MetacriticAlbums,0.4175,LR,,15.933602822121836
Regression,MetacriticAlbums,0.4175,KNN,K=3,16.010852444592167
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.817092806766343
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.924573211255135
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.805295748587955
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.74042274915243
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.793269565163902
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.57232249016979
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.794111336647983
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.787783120952602
Regression,MetacriticAlbums,0.4175,KNN,K=3,15.831787021496982
Regression,MetacriticAlbums,0.4175,M5,,20.612260333373197
Regression,MetacriticAlbums,0.4175,M5,,19.80796862528903
Regression,MetacriticAlbums,0.4175,M5,,19.732250258116714
Regression,MetacriticAlbums,0.4175,M5,,20.18068381759688
Regression,MetacriticAlbums,0.4175,M5,,20.11513435376998
Regression,MetacriticAlbums,0.4175,M5,,19.800093461159015
Regression,MetacriticAlbums,0.4175,M5,,19.12242002612826
Regression,MetacriticAlbums,0.4175,M5,,20.150349363701483
Regression,MetacriticAlbums,0.4175,M5,,19.700169001020843
Regression,MetacriticAlbums,0.4175,M5,,20.681728898061817
