task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,23.210675031560328
Regression,MetacriticMovies,0.919,LR,,23.364156085381932
Regression,MetacriticMovies,0.919,LR,,23.190067837500784
Regression,MetacriticMovies,0.919,LR,,23.159296572593195
Regression,MetacriticMovies,0.919,LR,,23.23796920897666
Regression,MetacriticMovies,0.919,LR,,23.267741947012922
Regression,MetacriticMovies,0.919,LR,,23.25192114018244
Regression,MetacriticMovies,0.919,LR,,23.135778356055816
Regression,MetacriticMovies,0.919,LR,,23.205048741510623
Regression,MetacriticMovies,0.919,LR,,23.237716662567884
Regression,MetacriticMovies,0.919,KNN,K=3,24.91774833777449
Regression,MetacriticMovies,0.919,KNN,K=3,25.29244420556004
Regression,MetacriticMovies,0.919,KNN,K=3,25.143339122007724
Regression,MetacriticMovies,0.919,KNN,K=3,24.988801729774003
Regression,MetacriticMovies,0.919,KNN,K=3,25.346566375600453
Regression,MetacriticMovies,0.919,KNN,K=3,25.33721000968007
Regression,MetacriticMovies,0.919,KNN,K=3,25.278293622383373
Regression,MetacriticMovies,0.919,KNN,K=3,25.274209310115044
Regression,MetacriticMovies,0.919,KNN,K=3,25.413174010070865
Regression,MetacriticMovies,0.919,KNN,K=3,25.279488951087597
Regression,MetacriticMovies,0.919,M5,,31.318027483339733
Regression,MetacriticMovies,0.919,M5,,30.845405859927826
Regression,MetacriticMovies,0.919,M5,,31.141658473762856
Regression,MetacriticMovies,0.919,M5,,31.49716950426218
Regression,MetacriticMovies,0.919,M5,,31.738654231856383
Regression,MetacriticMovies,0.919,M5,,31.469090290169703
Regression,MetacriticMovies,0.919,M5,,31.114095838275222
Regression,MetacriticMovies,0.919,M5,,32.49568370107693
Regression,MetacriticMovies,0.919,M5,,31.38008047750178
Regression,MetacriticMovies,0.919,M5,,30.935887741671007
