task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9983779399837794,NB,,0.35946199177824
Classification,AAUP,0.9983779399837794,NB,,0.359327773927266
Classification,AAUP,0.9983779399837794,NB,,0.35986904591644
Classification,AAUP,0.9983779399837794,NB,,0.359191539141372
Classification,AAUP,0.9983779399837794,NB,,0.358923653512584
Classification,AAUP,0.9983779399837794,NB,,0.360009497929891
Classification,AAUP,0.9983779399837794,NB,,0.357836892306677
Classification,AAUP,0.9983779399837794,NB,,0.360007114279532
Classification,AAUP,0.9983779399837794,NB,,0.359193556076291
Classification,AAUP,0.9983779399837794,NB,,0.360003080409695
Classification,AAUP,0.9983779399837794,KNN,K=3,0.557134632239421
Classification,AAUP,0.9983779399837794,KNN,K=3,0.555921537564496
Classification,AAUP,0.9983779399837794,KNN,K=3,0.558763215507662
Classification,AAUP,0.9983779399837794,KNN,K=3,0.561878463168935
Classification,AAUP,0.9983779399837794,KNN,K=3,0.562141581497006
Classification,AAUP,0.9983779399837794,KNN,K=3,0.557409302103846
Classification,AAUP,0.9983779399837794,KNN,K=3,0.559296236399441
Classification,AAUP,0.9983779399837794,KNN,K=3,0.557269583521275
Classification,AAUP,0.9983779399837794,KNN,K=3,0.558219376510409
Classification,AAUP,0.9983779399837794,KNN,K=3,0.556460975976471
Classification,AAUP,0.9983779399837794,C45,,0.500270085921428
Classification,AAUP,0.9983779399837794,C45,,0.499460378230305
Classification,AAUP,0.9983779399837794,C45,,0.509345559626097
Classification,AAUP,0.9983779399837794,C45,,0.506902134650575
Classification,AAUP,0.9983779399837794,C45,,0.504739063628796
Classification,AAUP,0.9983779399837794,C45,,0.505691423626009
Classification,AAUP,0.9983779399837794,C45,,0.499321026363173
Classification,AAUP,0.9983779399837794,C45,,0.491736434279092
Classification,AAUP,0.9983779399837794,C45,,0.505146117766996
Classification,AAUP,0.9983779399837794,C45,,0.507848627200751
Classification,AAUP,0.9983779399837794,SVM,C=0.001,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.01,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.1,0.603980146026088
Classification,AAUP,0.9983779399837794,SVM,C=1.0,0.632007106945224
Classification,AAUP,0.9983779399837794,SVM,C=10.0,0.63484915160383
Classification,AAUP,0.9983779399837794,SVM,C=100,0.60289558511282
Classification,AAUP,0.9983779399837794,SVM,C=1000,0.549421506393684
Classification,AAUP,0.9983779399837794,SVM,C=0.001,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.01,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.1,0.603576208969126
Classification,AAUP,0.9983779399837794,SVM,C=1.0,0.630787411392382
Classification,AAUP,0.9983779399837794,SVM,C=10.0,0.632412510863945
Classification,AAUP,0.9983779399837794,SVM,C=100,0.605743313860743
Classification,AAUP,0.9983779399837794,SVM,C=1000,0.5541607533802
Classification,AAUP,0.9983779399837794,SVM,C=0.001,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.01,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.1,0.604653985646758
Classification,AAUP,0.9983779399837794,SVM,C=1.0,0.632409027067267
Classification,AAUP,0.9983779399837794,SVM,C=10.0,0.633089284208133
Classification,AAUP,0.9983779399837794,SVM,C=100,0.605335342933944
Classification,AAUP,0.9983779399837794,SVM,C=1000,0.552665104458893
Classification,AAUP,0.9983779399837794,SVM,C=0.001,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.01,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.1,0.602896868616859
Classification,AAUP,0.9983779399837794,SVM,C=1.0,0.631332717251394
Classification,AAUP,0.9983779399837794,SVM,C=10.0,0.633363954072558
Classification,AAUP,0.9983779399837794,SVM,C=100,0.606827508058572
Classification,AAUP,0.9983779399837794,SVM,C=1000,0.548197960328724
Classification,AAUP,0.9983779399837794,SVM,C=0.001,0.561332240521323
Classification,AAUP,0.9983779399837794,SVM,C=0.01,0.561332240521323
Classification,AAUP,0.9983779399837794,SVM,C=0.1,0.605470110858078
Classification,AAUP,0.9983779399837794,SVM,C=1.0,0.633633306563106
Classification,AAUP,0.9983779399837794,SVM,C=10.0,0.631061897899087
Classification,AAUP,0.9983779399837794,SVM,C=100,0.607502631183281
Classification,AAUP,0.9983779399837794,SVM,C=1000,0.554292404223095
Classification,AAUP,0.9983779399837794,SVM,C=0.001,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.01,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.1,0.604521968088422
Classification,AAUP,0.9983779399837794,SVM,C=1.0,0.630923829535995
Classification,AAUP,0.9983779399837794,SVM,C=10.0,0.633632023059067
Classification,AAUP,0.9983779399837794,SVM,C=100,0.604251515451555
Classification,AAUP,0.9983779399837794,SVM,C=1000,0.557399767502411
Classification,AAUP,0.9983779399837794,SVM,C=0.001,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.01,0.561332057163603
Classification,AAUP,0.9983779399837794,SVM,C=0.1,0.604790770505811
Classification,AAUP,0.9983779399837794,SVM,C=1.0,0.633091117785332
Classification,AAUP,0.9983779399837794,SVM,C=10.0,0.630113205056272
Classification,AAUP,0.9983779399837794,SVM,C=100,0.605468277280878
Classification,AAUP,0.9983779399837794,SVM,C=1000,0.555909435954982
Classification,AAUP,0.9983779399837794,SVM,C=0.001,0.561332240521323
Classification,AAUP,0.9983779399837794,SVM,C=0.01,0.561332240521323
Classification,AAUP,0.9983779399837794,SVM,C=0.1,0.602899802340378
Classification,AAUP,0.9983779399837794,SVM,C=1.0,0.632141141438478
