task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,Forbes,0.9582965188195794,LR,,50.84359991924788
Regression,Forbes,0.9582965188195794,LR,,50.69426297933693
Regression,Forbes,0.9582965188195794,LR,,50.8085456693003
Regression,Forbes,0.9582965188195794,LR,,50.98439349600431
Regression,Forbes,0.9582965188195794,LR,,50.83305678950854
Regression,Forbes,0.9582965188195794,LR,,51.04045162962392
Regression,Forbes,0.9582965188195794,LR,,50.86105595822492
Regression,Forbes,0.9582965188195794,LR,,50.77932175214391
Regression,Forbes,0.9582965188195794,LR,,50.73815597284326
Regression,Forbes,0.9582965188195794,LR,,50.64150502827723
Regression,Forbes,0.9582965188195794,KNN,K=3,54.61030840003987
Regression,Forbes,0.9582965188195794,KNN,K=3,54.90614787736841
Regression,Forbes,0.9582965188195794,KNN,K=3,55.134646085793136
Regression,Forbes,0.9582965188195794,KNN,K=3,54.450047631251856
Regression,Forbes,0.9582965188195794,KNN,K=3,54.68960528516934
Regression,Forbes,0.9582965188195794,KNN,K=3,54.71558882031788
Regression,Forbes,0.9582965188195794,KNN,K=3,54.53814884565729
Regression,Forbes,0.9582965188195794,KNN,K=3,54.90256741768441
Regression,Forbes,0.9582965188195794,KNN,K=3,54.83907319188554
Regression,Forbes,0.9582965188195794,KNN,K=3,54.873014741218114
Regression,Forbes,0.9582965188195794,M5,,73.6460392418413
Regression,Forbes,0.9582965188195794,M5,,74.57067721549221
Regression,Forbes,0.9582965188195794,M5,,74.41327482902582
Regression,Forbes,0.9582965188195794,M5,,75.96996726868366
Regression,Forbes,0.9582965188195794,M5,,75.84814569056422
Regression,Forbes,0.9582965188195794,M5,,76.82411942670856
Regression,Forbes,0.9582965188195794,M5,,74.36110476243957
Regression,Forbes,0.9582965188195794,M5,,75.53759916436671
Regression,Forbes,0.9582965188195794,M5,,75.90489016679116
Regression,Forbes,0.9582965188195794,M5,,76.51127083638282
